t,drawdown
0,-0.012843790464297955
1,-0.013116208118619688
2,-0.006720776598157618
3,-0.023344016955557767
4,-0.032599334089519205
5,-0.049184341098976514
6,-0.06505239177692324
7,-0.039945615010900104
8,-0.07134611749382735
9,-0.05915593872138647
10,-0.08398553058987723
11,-0.06903652240045555
12,-0.05821611068645538
13,-0.040510393666011946
14,-0.042567811516808995
15,-0.041509612376236404
16,-0.04820931968427056
17,-0.04426993849745631
18,-0.039090573305180065
19,-0.0297991702212117
20,-0.021404657596787002
21,-0.02316323680119514
22,-0.06262172338908234
23,-0.054800626701545174
24,-0.050628126008496976
25,-0.058624306631510525
26,-0.06763761999310369
27,-0.07777102355690202
28,-0.07157949251722162
29,-0.07426208272661894
30,-0.06070491317004878
31,-0.05002047773523788
32,-0.04958225315345366
33,-0.035442978308045436
34,-0.02398137599846506
35,-0.025697330702678767
36,-0.017933284740666022
37,-0.009485536023313701
38,0.0
39,0.0
40,0.0
41,0.0
42,-0.018141286543370883
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-0.023563328375685533
51,-0.046443026978863156
52,-0.05068028409438363
53,-0.03193403132462791
54,-0.02760603902676717
55,-0.019947621659178738
56,-0.014358815147621162
57,-0.008132346338886154
58,0.0
59,0.0
60,-0.013212498025819697
61,-0.021158731967305555
62,-0.029118721197771147
63,-0.04508328092417424
64,-0.04210976108574105
65,-0.047585205175200596
66,-0.050122182056911546
67,-0.042858558332464325
68,-0.01812818564431873
69,-0.02733504518235963
70,-0.026320005155936577
71,-0.04958640101239087
72,-0.055556062341337586
73,-0.06263231994551832
74,-0.03728221393189435
75,-0.03781884810800529
76,-0.02208874326697241
77,-0.016992242618048436
78,-0.02096328528363245
79,0.0
80,0.0
81,-0.0020423605293966585
82,-0.0351945910901732
83,-0.04250843599754395
84,-0.004642699480609802
85,0.0
86,0.0
87,-0.0046626159393412525
88,0.0
89,0.0
90,0.0
91,-0.022671532268770167
92,-0.030671658571750804
93,-0.04196963945353027
94,-0.047529530479236914
95,-0.04299166611658989
96,-0.04778710195118174
97,-0.060226331903574515
98,-0.0517344141762609
99,-0.06251525592247198
100,-0.04161067123646056
101,-0.03520232562353098
102,-0.04180438439330014
103,-0.042115813078633546
104,-0.04480590971020215
105,-0.06522929479193285
106,-0.05287460239618991
107,-0.06488058312718392
108,-0.06804940600586917
109,-0.0919406002424693
110,-0.10347681721273705
111,-0.0996127479020893
112,-0.10423349802465598
113,-0.09059754565689548
114,-0.08800736975054035
115,-0.09729873372440367
116,-0.10025377899734134
117,-0.12691597597111903
118,-0.11536674034629824
119,-0.11479628042479673
120,-0.14314184674975516
121,-0.13012557188854956
122,-0.1504589462957936
123,-0.12905142634158795
124,-0.1204732557715591
125,-0.12935603044723765
126,-0.12471429615167495
127,-0.1466146829617615
128,-0.12725738751659432
129,-0.130663590889478
130,-0.14856260635826124
131,-0.1402897509446347
132,-0.13954763068915166
133,-0.14490091368289415
134,-0.13659359474590171
135,-0.13006416966868573
136,-0.13626753957231053
137,-0.11387285735819652
138,-0.11015160878916475
139,-0.09976154164135997
140,-0.10328172471228958
141,-0.10210940886084618
142,-0.0913409417350235
143,-0.08894219442793583
144,-0.07791652069178889
145,-0.08475219683292834
146,-0.09967875987294994
147,-0.09180751755813088
148,-0.09623247855411554
149,-0.11671372216804143
150,-0.1286290339788898
151,-0.14557409925885234
152,-0.14607131668861684
153,-0.1537131312717671
154,-0.16467082113299458
155,-0.15264370313104791
156,-0.1646523648467798
157,-0.1623536394297247
158,-0.1684460550890654
159,-0.18093019855548087
160,-0.16615256825462765
161,-0.17933858329322416
162,-0.18986741801769924
163,-0.1857700985378795
164,-0.16669970320758765
165,-0.17010515074250598
166,-0.15590910957489312
167,-0.17321784726427025
168,-0.17135230566661752
169,-0.15239989347495442
170,-0.15429197567692854
171,-0.15717433453294616
172,-0.1619369089009033
173,-0.18576016641630966
174,-0.19203984528416018
175,-0.18774102406008308
176,-0.18328408564909504
177,-0.18592447216403185
178,-0.17533549801057646
179,-0.1663359174968212
180,-0.13008974919872351
181,-0.1463110571094961
182,-0.1480192017235098
183,-0.14605340489281726
184,-0.13878415596491045
185,-0.13776409568212689
186,-0.14534139359610887
187,-0.15186441405943374
188,-0.14489978439347095
189,-0.11119816668269256
190,-0.11148713415937683
191,-0.09962415508105593
192,-0.1096811133022566
193,-0.11355068002835711
194,-0.12439437757794747
195,-0.11950111449624234
196,-0.11948884832845219
197,-0.11288479396647644
198,-0.10070430377001305
199,-0.11718992308057796
200,-0.12263003367077252
201,-0.12235383013008483
202,-0.11920516585000396
203,-0.12643921525790702
204,-0.12158160637115356
205,-0.11805910331309644
206,-0.10663490199543835
207,-0.1067811961831091
208,-0.08607829046751969
209,-0.06977993186585585
210,-0.0720312537035882
211,-0.06707835321612177
212,-0.04536436589285919
213,-0.0513760692163342
214,-0.0283119403097285
215,-0.04673410611957629
216,-0.05115373383453525
217,-0.06320397189835703
218,-0.0639383644468583
219,-0.06755097084417949
220,-0.06621936569971931
221,-0.06506502994787478
222,-0.05527799867920291
223,-0.056349436842106915
224,-0.022923431796876392
225,-0.021603712600161917
226,-0.03502891117634854
227,-0.024183628418825376
228,-0.023699843082018668
229,-0.02878295569231215
230,-0.023020671956372474
231,-0.04385657579698643
232,-0.0031714909358282473
233,-0.017320461542513876
234,-0.01738877908243397
235,-0.013746022961408588
236,0.0
237,-0.020472689992673376
238,-0.023385911830766548
239,-0.050666403823658945
240,-0.03529396816777075
241,-0.05932096911988405
242,-0.061615368316465524
243,-0.056970650132026956
244,-0.06562796967408369
245,-0.06095804195380461
246,-0.07262296932605194
247,-0.06577030847814247
248,-0.08963852665483774
249,-0.07571752459998471
250,-0.07190032561108894
251,-0.05460731877161007
252,-0.061640114500498
253,-0.063486645326016
254,-0.0657017206847692
255,-0.07590957332626402
256,-0.07484443091333148
257,-0.09697922651222235
258,-0.10216752544594265
259,-0.10954854734408648
260,-0.12677553392517693
261,-0.12228109807806786
262,-0.1039633935291675
263,-0.0881324352774292
264,-0.08721580102810844
265,-0.09997186118751511
266,-0.07814837226661786
267,-0.0714190927827163
268,-0.0659187987989619
269,-0.05339467443573931
270,-0.047814072486812687
271,-0.06526960892745692
272,-0.07330046109659283
273,-0.08477344527563568
274,-0.07969798305019304
275,-0.07449531939821596
276,-0.06101400422201808
277,-0.07135177208153431
278,-0.08889859390604549
279,-0.08644896339639219
280,-0.07789265223102493
281,-0.04237809289903249
282,-0.03305334116658554
283,-0.04840018568238125
284,-0.013380058227818403
285,-0.04991856377895465
286,-0.07316715581938749
287,-0.057823672774138135
288,-0.05745650938960045
289,-0.059621187007393606
290,-0.08643279597004083
291,-0.09995556048392906
292,-0.11250894608327311
293,-0.11901981552745622
294,-0.13299286175362524
295,-0.13474458580970095
296,-0.14027866756005447
297,-0.1258151202251746
298,-0.1300599242003102
299,-0.13435881105472525
300,-0.1422819986361742
301,-0.14020695504761427
302,-0.15305279994289
303,-0.16374511120825497
304,-0.17149222509572892
305,-0.1949633331528533
306,-0.20093855562863483
307,-0.2092219473312631
308,-0.2010112939000489
309,-0.2201206832574618
310,-0.23203423081000285
311,-0.24174496261370337
312,-0.23215747915109997
313,-0.2166696264882042
314,-0.21375881759235305
315,-0.21634690787729804
316,-0.2010311277193444
317,-0.20679828759238972
318,-0.21771074478591101
319,-0.20852023320698154
320,-0.22465938784053296
321,-0.21844880386395638
322,-0.19954577115253702
323,-0.18803934578215276
324,-0.18083209177705128
325,-0.18450125853734134
326,-0.19000365343168024
327,-0.18970614172264522
328,-0.20464192383830904
329,-0.2007684841641828
330,-0.19483553897698036
331,-0.19876645320097452
332,-0.18705136657272992
333,-0.19318009427090488
334,-0.19290865483396924
335,-0.19931457376389783
336,-0.20732853035874088
337,-0.19320574740538665
338,-0.1907769978623155
339,-0.20580126415277156
340,-0.2004098985048609
341,-0.20896596170637116
342,-0.21100974123236294
343,-0.20947871975465904
344,-0.21125998477220453
345,-0.21397820921413524
346,-0.2162739417598325
347,-0.20958304791959126
348,-0.20810590208183943
349,-0.20040144313539388
350,-0.17880144698927947
351,-0.1912614306156426
352,-0.19816139685603584
353,-0.18504283563797852
354,-0.17761705967530794
355,-0.18059748499555928
356,-0.14813307008090848
