t,drawdown
0,0.0
1,-0.025289113193390333
2,-0.06491139014717962
3,-0.06952297666370999
4,-0.08626890013310506
5,-0.08141299034245442
6,-0.08931657360168188
7,-0.0820909792947101
8,-0.09789499195323614
9,-0.0831365446007003
10,-0.07882100097328548
11,-0.08664162952367982
12,-0.07111583606871097
13,-0.050345685075868896
14,-0.057078902012444255
15,-0.022809419847683476
16,-0.04444936972833402
17,-0.019291761884192127
18,-0.011893850693775687
19,-0.002218332090628383
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,-0.0032548418216419295
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,-0.015370139897958435
32,-0.01925334104898546
33,-0.003681754338998866
34,0.0
35,-0.01238714389862039
36,-0.0004905974156772519
37,-0.0028319863672943146
38,0.0
39,0.0
40,-0.00282108513429824
41,-0.007750097955007362
42,0.0
43,-7.31913126447159e-05
44,-0.006092118012755554
45,-0.0183774056245658
46,-0.008322750613212748
47,-0.01931023538544907
48,-0.00629771750244057
49,-0.00576759198628729
50,0.0
51,-0.0002869832481476875
52,0.0
53,0.0
54,0.0
55,-0.007171191704515856
56,-0.005359081125780207
57,0.0
58,0.0
59,-0.0076276582042631436
60,0.0
61,0.0
62,-0.001830234303437983
63,-0.012778837300537194
64,-0.040032771940227696
65,-0.01251710145288265
66,-0.022096443426180445
67,-0.02531503833408355
68,-0.03371296623815756
69,-0.0324229011841668
70,-0.032570555360751596
71,-0.04654053297449168
72,-0.07290019630918754
73,-0.0802941242639349
74,-0.10369154774560063
75,-0.09297450745286973
76,-0.08573633210620302
77,-0.08226411563862523
78,-0.08394118624095626
79,-0.07023551148591212
80,-0.0836094944106145
81,-0.07124533574897529
82,-0.09756132064463041
83,-0.10278455095319372
84,-0.09611320206366025
85,-0.08647079619560638
86,-0.09049184596711335
87,-0.09714747439368254
88,-0.08984131820927554
89,-0.06895991671959656
90,-0.08246137501727502
91,-0.07925351787237844
92,-0.09082273895471193
93,-0.08376613484856732
94,-0.09302366999273459
95,-0.09042843499895736
96,-0.09157917237823521
97,-0.1189715197625365
98,-0.12236111980135789
99,-0.1146800743207218
100,-0.09324817899563598
101,-0.09989606480766988
102,-0.07249564748478532
103,-0.05536896524719481
104,-0.05139889798047603
105,-0.052258760611337385
106,-0.051812747173988316
107,-0.03150422259048313
108,-0.0332701798372006
109,-0.045555952750082285
110,-0.0506145568662022
111,-0.04074444285835788
112,-0.02054081918695616
113,-0.0321200643594014
114,-0.031998782776822554
115,-0.03163196694123771
116,-0.03360539555743636
117,-0.004873341029929756
118,0.0
119,0.0
120,0.0
121,-0.009926679499185131
122,0.0
123,-0.015562417817170271
124,0.0
125,0.0
126,-0.0039215540888641875
127,-0.008411769878531983
128,-0.023374067365362516
129,-0.033484697412042075
130,-0.023851399789723948
131,-0.007996588713553132
132,0.0
133,0.0
134,-0.0227701286641796
135,-0.035017957307409864
136,-0.037564814956022374
137,-0.05036490169471142
138,-0.030769704481548144
139,-0.03415308987334087
140,-0.03931303648155482
141,-0.03464312377308176
142,-0.023702317442646725
143,-0.029028908438119783
144,-0.016960278489777436
145,-0.017957200933049755
146,-0.03331598996489571
147,-0.020676374821136823
148,-0.02056659343733014
149,-0.035272928016534144
150,-0.05884110912970775
151,-0.07193258607693331
152,-0.09471613672980916
153,-0.09432137449277356
154,-0.09823765897931247
155,-0.11158223557055758
156,-0.10335196023849647
157,-0.100711572619685
158,-0.07951882756645878
159,-0.08511505398221086
160,-0.07512273770646372
161,-0.050115667755662896
162,-0.019983974758327472
163,-0.03719013353898604
