t,drawdown
0,-0.0016772131412396973
1,0.0
2,-0.00045628566513344904
3,-0.003035166844467363
4,-0.00620083349234557
5,-0.00996094750362142
6,-0.012265401768129958
7,-0.013133093512092575
8,-0.011249878292553306
9,-0.01254913478727393
10,-0.012568188034271288
11,-0.01401960389983714
12,-0.013446735428969347
13,-0.01114418414874263
14,-0.009244429819201594
15,-0.008648195273616266
16,-0.008458160766457778
17,-0.010532036708329806
18,-0.01111576939591219
19,-0.00938710652569863
20,-0.008521154653499341
21,-0.006162463687829578
22,-0.0050139342038566515
23,-0.003415687881249352
24,-0.003978986406643181
25,-0.0038183385894134947
26,0.0
27,-6.048522146229196e-05
28,0.0
29,-0.00041590205314956386
30,0.0
31,0.0
32,-0.00024234837648751117
33,0.0
34,0.0
35,0.0
36,-0.00028359888399143163
37,-0.0017612585952185844
38,0.0
39,-0.0016417898216868343
40,0.0
41,0.0
42,-0.0014975547384843413
43,-0.0033183640279117466
44,-0.004427605384689115
45,-0.0049150409420661845
46,-0.007910741617991768
47,-0.0053616284815689585
48,-0.005955036799355384
49,-0.0034974262968481273
50,-0.006421967922953908
51,-0.009929425118301305
52,-0.009235183664002222
53,-0.009756486977364531
54,-0.010582720088787023
55,-0.013446060263678117
56,-0.01215641383099475
57,-0.01219743431700282
58,-0.008015756525606266
59,-0.0037247798152683087
60,-0.0031376886501721657
61,-0.0038904505362971076
62,-0.0023329114734215173
63,-0.0006447351088278985
64,-0.0016636972304622244
65,-0.004267085495527345
66,-0.0037520960078925025
67,-0.0075569554373751124
68,-0.009547342274233261
69,-0.009563775221492099
70,-0.01136429444235787
71,-0.007428062764314292
72,-0.008632136894521247
73,-0.007318568098653722
74,-0.010460230568062112
75,-0.008559730311204494
76,-0.008220504186631117
77,-0.009768649616350933
78,-0.008350898843908494
79,-0.008737951013213285
80,-0.008649796322425463
81,-0.007643541358700601
82,-0.008716173731251886
83,-0.011975912464832428
84,-0.015143282882163489
85,-0.015540375515831095
86,-0.016512131637325678
87,-0.0165816308477863
88,-0.013610822229113029
89,-0.011775974218710017
90,-0.011467010564782387
91,-0.014060286049986548
92,-0.015337087216123368
93,-0.014078026284039424
94,-0.011643443088272698
95,-0.008904462132805824
96,-0.007958717201985377
97,-0.010789972357850508
98,-0.005286874414514142
99,-0.0069861308172812775
100,-0.005516482782217946
101,-0.00591909180109218
102,-0.0012916941164035078
103,-0.0013340254360848514
104,0.0
105,0.0
106,0.0
107,-0.0013358784854462513
108,-0.005034693335002838
109,-0.0009866371971901655
110,-4.6548269286850186e-05
111,-0.0015353710929923992
112,-0.007102754164090341
113,-0.006876319246681972
114,-0.004560605420153574
115,-0.00875597756104829
116,-0.013259648000057966
117,-0.012845707800639983
118,-0.013215919505157103
119,-0.014285849413415819
120,-0.01849138481955437
121,-0.01964117691422751
122,-0.01742389999808036
123,-0.014719171284477195
124,-0.01484206561109025
125,-0.019098457151409565
126,-0.0195658402523049
127,-0.017900683113187044
128,-0.014017059283822464
129,-0.014162890436066333
130,-0.012167809691061349
131,-0.011619787953986993
132,-0.013352498819004244
133,-0.015599717158642612
134,-0.01320581689756073
135,-0.012375684617853877
136,-0.012375233520230289
137,-0.00984095012226982
138,-0.00804091656188377
139,-0.008660470199209125
140,-0.007856310583306048
141,-0.011611379119443765
142,-0.01366182651322212
143,-0.021797602238150082
144,-0.023494355265243794
145,-0.02645985511776161
146,-0.027311420700349198
147,-0.024976302423181274
148,-0.024373342762969763
149,-0.026500828025629364
150,-0.025686073121944708
