t,drawdown
0,-0.017953548725887725
1,-0.03688228001567273
2,-0.036722388916349824
3,-0.03512877102188161
4,-0.033223686749746406
5,-0.024250126345486733
6,-0.017898912252085397
7,-0.06296758252259294
8,-0.06526495537414378
9,-0.0745111592643588
10,-0.09036664331067223
11,-0.08986019565292913
12,-0.0979832254543247
13,-0.11982475527555547
14,-0.13090446741742912
15,-0.12579112685515492
16,-0.13332544724789908
17,-0.12373525628624549
18,-0.12969432675431092
19,-0.13764595314703243
20,-0.15131504798942674
21,-0.14907523387109456
22,-0.1451030020740619
23,-0.13913829325617988
24,-0.16476822110131206
25,-0.17150468399790464
26,-0.18273222015738388
27,-0.17695808223415854
28,-0.1724848710760034
29,-0.16071910054811478
30,-0.16571016077641898
31,-0.13873817227374907
32,-0.15677965057084386
33,-0.13616807609973292
34,-0.1267211384570014
35,-0.15053647775769396
36,-0.16114249062749175
37,-0.16378864305719354
38,-0.18092060584992753
39,-0.18915723699306208
40,-0.2304008941109732
41,-0.22598416503547203
42,-0.2206183592173202
43,-0.24242315729990893
44,-0.2206462472359948
45,-0.22792642665431484
46,-0.21607949948748462
47,-0.2158810975793929
48,-0.21929843974759844
49,-0.20739346258061264
50,-0.19793420102262438
51,-0.18724043291673165
52,-0.15904902716473612
53,-0.18113094182142941
54,-0.17546697657352928
55,-0.17139730774761408
56,-0.15480653159725954
57,-0.14795927802626763
58,-0.12811018891768977
59,-0.1177852142092497
60,-0.10471546081405525
61,-0.12809040637071356
62,-0.1403923632849372
63,-0.1427715342595528
64,-0.14546419222619567
65,-0.1447187716674182
66,-0.1377179910443388
67,-0.1363801252385941
68,-0.12374256858718169
69,-0.13938924464060554
70,-0.12595100854799546
71,-0.128522225952432
72,-0.13906114581084295
73,-0.11720985605664525
74,-0.10280564349457122
75,-0.10185661102881227
76,-0.10139144890065577
77,-0.11859998957111162
78,-0.11212796105417877
79,-0.10853213173861109
80,-0.11810375758909908
81,-0.14228726637217837
82,-0.14137739876743105
83,-0.14831421168725023
84,-0.10735731446004404
85,-0.09381593015741752
86,-0.08374883477825379
87,-0.06689770501935866
88,-0.08474674165052465
89,-0.1001396007205505
90,-0.1068022928006841
91,-0.09122270607535476
92,-0.10356944297963855
93,-0.0979493722348207
94,-0.08451858183062044
95,-0.08791193300663047
96,-0.0919752459887615
97,-0.0854542957998019
98,-0.1214077321513587
99,-0.11704772901088023
100,-0.12328420921405137
101,-0.1063176993785071
102,-0.10355218791707543
103,-0.09684463883701977
104,-0.1004931771794435
105,-0.0881348517408902
106,-0.08313838350438207
107,-0.07627865553341484
108,-0.09058518558948436
109,-0.09028811665234227
110,-0.09946479657409779
111,-0.08864578715425286
112,-0.08831972164477775
113,-0.10150605631875964
114,-0.10375847964502927
115,-0.11246570296838954
116,-0.12276351325502133
117,-0.12179655372097298
118,-0.1319763871825148
119,-0.14052727805662035
120,-0.14379404556693853
121,-0.15321624412381152
122,-0.15189028663818405
123,-0.12104131930345541
124,-0.14049685070760132
125,-0.1468728585521002
126,-0.13855783965985502
127,-0.14157628027573954
128,-0.13106463301909976
129,-0.1299472821951726
130,-0.14105120928485204
131,-0.13645451238705908
132,-0.1351313831988158
133,-0.1306828999841263
134,-0.12463862997492203
135,-0.11938015299418103
136,-0.09737002118578719
137,-0.11272148920950475
138,-0.11032381802978197
139,-0.11821532593664197
140,-0.1265633686461729
141,-0.11458172063389038
142,-0.10847532879288435
143,-0.1206181112633471
144,-0.12103103625604861
145,-0.12556118715562714
146,-0.12877328941045263
147,-0.12549784486143645
148,-0.11021213104648364
149,-0.10581785660238407
150,-0.08689343920593262
151,-0.08749654952850028
152,-0.08534825355986819
153,-0.05502905647976264
154,-0.05227052971034607
155,-0.05098907331656022
156,-0.06023965322136415
157,-0.06457308093846026
158,-0.06671269094722754
159,-0.060796187788924816
160,-0.058494236097195396
161,-0.052695471348820355
162,-0.07112274693779197
163,-0.044992429772944265
164,-0.0666623432905814
165,-0.07394250764734678
166,-0.07348559203729477
167,-0.07176642226973273
168,-0.08828992371720468
169,-0.09223012793965946
170,-0.11342850769411938
171,-0.10368336404659095
172,-0.07918949966021982
173,-0.07735346075917204
174,-0.06184744332427072
175,-0.03833859119790595
176,-0.05917850224014787
177,-0.06450704845033073
178,-0.055174560313604126
179,-0.05788608220312663
180,-0.06493681918841476
181,-0.07130680043873583
182,-0.06768962903437759
183,-0.07058611664440917
184,-0.07144305527838124
185,-0.05262143170475064
186,-0.05371220126929743
187,-0.07074938985339929
188,-0.09110109150580459
189,-0.08561480144478684
190,-0.09618850250551059
191,-0.09840683760531888
192,-0.09488123966513573
193,-0.09921324725354763
194,-0.11370465016758036
195,-0.12043503214422457
196,-0.14420335505203208
197,-0.1478771766644974
198,-0.15530504006185764
199,-0.155145888664175
200,-0.16053891911842122
201,-0.16401036229233978
202,-0.165822566484075
203,-0.16310125275172083
204,-0.16386412624840796
205,-0.17764401876449032
206,-0.18878198365883792
207,-0.2049195822234654
208,-0.1869548748326283
209,-0.20344046191717768
210,-0.20701319450970024
211,-0.21388595102820973
212,-0.22723028089844466
213,-0.23542824782412697
214,-0.24833665771970848
215,-0.24746887245478877
216,-0.24629810541556885
217,-0.2378835802127559
218,-0.22306215741769053
219,-0.21764994433314733
220,-0.2370924773388633
221,-0.23519311450971003
222,-0.22070839806453035
223,-0.23471575007981837
224,-0.23836484217547682
225,-0.2670458679661568
226,-0.25016108387959457
227,-0.24232872431648034
228,-0.24618192780990056
229,-0.23283425131551705
230,-0.24626637256858008
231,-0.2525946369199754
232,-0.25010303890410157
233,-0.2566978145668133
234,-0.2578638030252979
235,-0.24581905482975575
236,-0.25165329871840325
237,-0.2626191755730608
238,-0.26552012363395705
239,-0.26552650813492384
240,-0.2687100879653219
241,-0.2636608395897998
242,-0.2597919875727134
243,-0.27281323292858883
244,-0.26740032242408884
245,-0.2678893563060909
246,-0.25706870255353387
247,-0.25695636342857964
248,-0.24999850874331675
249,-0.25316092701647497
250,-0.25378756129981084
251,-0.2509062891512479
252,-0.2537422894028921
253,-0.2557342008952983
254,-0.26504829451331346
255,-0.2767346367607023
256,-0.28394798252892317
257,-0.27405688823356833
258,-0.3023102619847531
259,-0.30587524149665024
260,-0.3012803683714562
261,-0.2787129610449738
262,-0.27813406480577674
263,-0.25863231025582545
264,-0.2693207289293771
265,-0.2664696682136687
266,-0.2732529983875379
267,-0.28674458590243246
268,-0.3045136609146505
269,-0.2825503323236741
270,-0.28999390006905135
271,-0.30729455706176134
272,-0.30701502744782116
273,-0.31492688671841096
274,-0.31015158311756297
275,-0.3047740310709314
276,-0.2987141923707579
277,-0.2937094015833809
278,-0.2981248515645837
279,-0.3049254197985649
280,-0.29896618811726206
281,-0.29576342073229145
282,-0.27105818643201274
283,-0.26605476828960983
284,-0.25941136690777933
285,-0.27484603213351866
286,-0.2635323378136848
287,-0.26927306704752574
288,-0.26397423057072233
289,-0.251260289579336
290,-0.24835203492055413
291,-0.23120132719493258
292,-0.22777733748416695
293,-0.23064299522726417
294,-0.23526495509026502
295,-0.24551856364835434
296,-0.25136787988320497
297,-0.25082196351073105
298,-0.2526984710418675
299,-0.22514116836685127
300,-0.20968454372408984
301,-0.216078024528353
302,-0.2211428481984501
303,-0.223515962326313
304,-0.2302809605873568
305,-0.21976823933084377
306,-0.21144591166230975
307,-0.19936969948734706
308,-0.1973632716396686
309,-0.2067236833829682
310,-0.18930822337952014
311,-0.18675335084728295
312,-0.1633822808658868
313,-0.18009559860315572
314,-0.20625780679991101
315,-0.20263540240749955
316,-0.1912763487097151
317,-0.17424208592240564
318,-0.1575885218338593
319,-0.16272662179469655
320,-0.17546282988824213
321,-0.16354025414685391
322,-0.1472906257263923
323,-0.17100202065147574
324,-0.14997348758639983
325,-0.16615230615260146
326,-0.1804916008531553
327,-0.17289386859423406
328,-0.17646722310203655
329,-0.17818948746974417
330,-0.15819953613858184
331,-0.14685502030319197
332,-0.1618643018176643
333,-0.16379982832139206
334,-0.16006895179754976
335,-0.1612850217998324
336,-0.15099004341071287
337,-0.13083161907344054
338,-0.12597636581496108
339,-0.1165816159165306
340,-0.11611922375782635
341,-0.1014872518474127
342,-0.08245128123709833
343,-0.08100223652184357
344,-0.09569341713287238
