t,drawdown
0,0.0
1,-0.007621538816239282
2,-0.014292644250556097
3,-0.01652141134625862
4,-0.03691679223150224
5,-0.054185604851154534
6,-0.09052374519448858
7,-0.08670535384157951
8,-0.0744367864864276
9,-0.06034557497003268
10,-0.05466904079129398
11,-0.06732584852359036
12,-0.05002130854888631
13,-0.0644116046225437
14,-0.06054066707295991
15,-0.09100956487895162
16,-0.06677291814646413
17,-0.07719103812839423
18,-0.07992154130222895
19,-0.057804335398667805
20,-0.05105823342453453
21,-0.05013363578938601
22,-0.047024792177523866
23,-0.03868721866141467
24,-0.02940735196694655
25,-0.02640975398845724
26,-0.046897483119667904
27,-0.03461337530365538
28,-0.01605128708016612
29,-0.038981828850685574
30,-0.0711232601548134
31,-0.07163940775085831
32,-0.0527738389266893
33,-0.039254507805336014
34,-0.052559239653549805
35,-0.07262420115832224
36,-0.06207760080904623
37,-0.0841511787854643
38,-0.1165891876455234
39,-0.11023275400106092
40,-0.09712281468953365
41,-0.07866862013020348
42,-0.08487970048868976
43,-0.08361750136384227
44,-0.11356779682629226
45,-0.11903536381271229
46,-0.12705652844703552
47,-0.10707923288285937
48,-0.11161514146937457
49,-0.07612702160701135
50,-0.07901393003643253
51,-0.07129835494221437
52,-0.06375113334409876
53,-0.048910797784195936
54,-0.030520390588747115
55,-0.018236701132488986
56,-0.03374684792798255
57,-0.055576440569422236
58,-0.05346888208719969
59,-0.04973703132388274
60,-0.03573549021326716
61,-0.04400884345272116
62,-0.043073590704466036
63,-0.025644451443247673
64,-0.021482939388624445
65,-0.05005568027024332
66,-0.042390964569544054
67,-0.05046486168100828
68,-0.038300783249109904
69,-0.03759301024825079
70,-0.062438249662195244
71,-0.05170984486340524
72,-0.04141944151476118
73,-0.03677706973930828
74,-0.04861101139907864
75,-0.058528911993805055
76,-0.06303113665435434
77,-0.055572950825838796
78,-0.05622334688422115
79,-0.04239625308579098
80,-0.05168562651937947
81,-0.06021892245506888
82,-0.06358135756335581
83,-0.05024411919801053
84,-0.03841635475885452
85,-0.04588800240727453
86,-0.026093542428827443
87,-0.015240849033305248
88,0.0
89,-0.014235902474287299
90,-0.029132440110277158
91,-0.026158895635130852
92,-0.02337791503313591
93,-0.023855575863876655
94,-0.02004197719058365
95,-0.022261511283774627
96,-0.03026893868753855
97,-0.03398232177628224
98,-0.03000785382392268
99,-0.02402238352762398
100,-0.03879605849274004
101,-0.026082605124612024
102,-0.02339422467684804
103,-0.06042579405459625
104,-0.05324374506240481
105,-0.05534152416661553
106,-0.04906287968550105
107,-0.051060408078340225
108,-0.040895672619381984
109,-0.018482445876251696
110,-0.010843264171397582
111,0.0
112,-0.006570584331683449
113,0.0
114,-0.021951735746445045
115,-0.024490556435295963
116,-0.009717243803833209
117,0.0
118,0.0
119,-0.0036254540903944976
120,-0.018749417361495158
121,-0.03224874843019754
122,-0.015029937598480592
123,-0.0324250489350566
124,-0.04621195584812432
125,-0.05082439248029724
126,-0.06945609223391735
127,-0.05204767752670858
128,-0.05488346472526173
129,-0.06201807804194448
130,-0.05531194814214446
131,-0.051367787806841037
132,-0.045170573389230695
133,-0.021499779311675904
134,-0.04937372977665733
135,-0.04377949187570063
136,-0.04455128438723166
137,-0.0549188969129808
138,-0.04700955326492351
139,-0.04377093560440293
140,-0.028152534228585546
141,-0.011046095829728708
142,0.0
143,-0.016282995777588072
144,-0.0022007298538413433
145,-0.022333495285716487
146,0.0
147,0.0
148,-0.0007469030866723569
149,-0.003456345479367573
150,-0.0029576170519843847
151,0.0
152,-0.005224745462014013
153,-0.004560582911399158
154,-0.021448626643619018
155,-0.03379745146680635
156,-0.04749316099308731
157,-0.04518143577800893
158,-0.039006704633156364
159,-0.04836413905484205
160,-0.06468897508893356
161,-0.054397813559248
162,-0.05149250885520451
163,-0.03203893949100156
164,-0.008526151148026795
165,0.0
166,-0.0034515279487183914
167,0.0
168,0.0
169,-0.022628847403338037
170,-0.04002230835844489
171,-0.04823969705871489
172,-0.0439876018910621
173,-0.03349453860587148
174,-0.041356559822322225
175,-0.06442379622388139
176,-0.04797117106138149
177,-0.04492918680962199
178,-0.07354600244290388
179,-0.07316079038426271
180,-0.06232374458498524
181,-0.060985344922196205
182,-0.0867236614583553
183,-0.07483527432776627
184,-0.05672553371002209
185,-0.07351407547894695
186,-0.079128527456511
187,-0.0793798839110269
188,-0.09082537040733774
189,-0.06290074973090276
190,-0.044979184997695154
191,-0.04796408109830341
192,-0.02840897587277258
193,-0.00952824346335479
194,-0.002382589767519816
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,-0.016181400958581227
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,-0.010591655890729412
208,0.0
209,0.0
210,0.0
211,-0.011370636257850508
212,-0.018508709968782067
213,0.0
214,-0.017513993680623452
215,-0.028167632840958357
216,-0.025876627945139785
217,-0.04191033144971357
218,-0.019226183262289642
219,-0.02831207733994312
220,-0.028444948816196858
221,-0.008543853866504358
222,-0.02618127670116477
223,-0.03513949171520436
224,-0.018441352009382683
225,-0.018529888060422994
226,-0.032364502601724965
227,-0.016618672221874742
228,-0.013976279000893488
229,-0.02851462854536202
230,-0.05687459404234685
231,-0.04501023155162842
232,-0.046567422937660474
233,-0.06356261131031382
234,-0.05799662016661067
235,-0.03987849543854527
236,-0.03283213205098012
237,-0.021882590505167165
238,-0.014162455586601674
239,-0.029053851580097323
240,-0.02383440934033776
241,-0.02090660736276162
242,-0.01047541744276248
243,-0.022181436579311486
244,-0.02983680763703589
245,-0.018276107167024325
246,-0.0060454841232415735
247,-0.0069267177051370865
248,-0.01761437405981947
249,-0.041898936690406785
250,-0.0338406537615491
251,-0.025033159709150987
252,-0.01990187890859929
253,-0.022571252272104103
254,-0.008704158436964704
255,-0.009067536126661668
256,0.0
257,-0.017977586985132077
258,-0.014646257297061704
259,-0.009039192365678073
260,-0.015229217423368913
261,-0.022357892122880085
262,-0.020353538782023284
263,-0.013171839284131237
264,-0.009806854910572538
265,-0.028523408485470525
266,-0.02518967750661283
267,-0.03866434916898387
268,-0.055921034416785864
269,-0.05413724937585285
270,-0.047439881340671786
271,-0.041045573871532515
272,-0.023636130627518237
273,-0.003575569991506211
274,-0.01685235960987208
275,-0.03038052386204837
276,-0.03202835963060069
277,-0.02540141121516315
278,-0.04116227391729277
279,-0.038929189975699274
280,-0.045490894509494506
281,-0.012399393753877552
282,-0.020315502543743036
283,-0.014144424572553715
284,-0.003943578064672271
285,-0.018775285376610218
286,-0.05871200357429318
287,-0.0628610940509392
288,-0.05241448197786325
289,-0.04921576430968744
290,-0.03315436325869925
291,-0.050323749913043336
292,-0.04425968909399658
293,-0.05743756229358843
294,-0.0451154222098622
295,-0.03978567122333998
296,-0.058653684214201585
297,-0.09180483606704071
298,-0.1351708626185696
299,-0.13717301369999524
300,-0.1250392908322432
301,-0.11214949222695791
302,-0.1113063982832605
303,-0.10991022040077436
304,-0.12270402125856328
305,-0.125018600238189
306,-0.12109588180017516
307,-0.12313959497313343
308,-0.13317916917097172
309,-0.13714874892699924
310,-0.10966306727652897
311,-0.1072149281014314
312,-0.09403806230816547
313,-0.10298478462654881
314,-0.1073608467249455
315,-0.09724297414713179
316,-0.08579349827699645
317,-0.07128634476636198
318,-0.043210901018310266
319,-0.05545280686593479
320,-0.07293405125816965
321,-0.1084003135237317
322,-0.1064871882581987
323,-0.10358886751649332
324,-0.10527507769142574
325,-0.10692690040606034
326,-0.11770660953707501
327,-0.11609356248409519
328,-0.1083141009794053
329,-0.10879975225942984
330,-0.10201982124845277
331,-0.07920852773942677
332,-0.07745231162336474
333,-0.08015635580539449
334,-0.0861284643344179
335,-0.08176117569665309
336,-0.08192326517528714
337,-0.06891881030637059
338,-0.03706290201382467
339,-0.007090885868865304
340,-0.01661506207660257
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,-0.010535547099659981
348,0.0
349,0.0
350,0.0
351,-0.010862384715572881
352,-0.0112645860402949
353,0.0
354,-0.020462978355311412
355,-0.002818911690749548
356,-0.019502694661667097
357,0.0
358,-0.004833516446675845
359,0.0
360,0.0
361,0.0
362,0.0
363,-0.00278477178115788
364,-0.004852235858768816
365,0.0
366,0.0
367,0.0
368,-0.004669825757533164
369,0.0
370,-0.017089211026083517
371,-0.027987326118762534
372,-0.045833459597541926
373,-0.03794523511734682
374,-0.038600442726796524
375,-0.037086343486868345
376,-0.06257748126368368
377,-0.06998448330315177
378,-0.06272289563664246
379,-0.043639560309251535
380,-0.05685511834173029
381,-0.056791529684481756
382,-0.08157097781372757
383,-0.07359899284930271
384,-0.06939245012636275
385,-0.08789067953684437
386,-0.07970565001216878
387,-0.07935361258310403
388,-0.08735790304943858
389,-0.08179441542264188
390,-0.10397812654457961
391,-0.1136176729783881
392,-0.1221849161098788
393,-0.12274765410522903
394,-0.12238982144645205
395,-0.1509315269883451
396,-0.1686909663718411
397,-0.18024097680122952
398,-0.19190444367859583
399,-0.18386499941570067
400,-0.16415082342707576
401,-0.17521869975525484
402,-0.15128850068826805
403,-0.14789327282234532
404,-0.1578355680378437
405,-0.1709916823883657
406,-0.16781240814818077
407,-0.1800614837627833
408,-0.1830825963901963
409,-0.18783441486055386
410,-0.17882882939734146
411,-0.16166999267989735
412,-0.17019036142923372
413,-0.18252968888949583
414,-0.1737229758277573
415,-0.1691039007105405
416,-0.15287922354966166
417,-0.15575571296328883
418,-0.14364077075173853
419,-0.14512194207169626
420,-0.1276015298515185
421,-0.11466220400636662
422,-0.1517684631379328
423,-0.14420489905314926
424,-0.15123302804704675
425,-0.14083505992206546
426,-0.11383409780712328
427,-0.09536625898398288
428,-0.09531150082502948
429,-0.0916557944283678
430,-0.09221938850569833
431,-0.07912848010882922
432,-0.06027191379364427
433,-0.06018315715104694
434,-0.06367500645111757
435,-0.07313984646990601
436,-0.08904569221749903
437,-0.1013094708091914
438,-0.09923349611956866
439,-0.09873637470035135
440,-0.10181393501083147
441,-0.11080808414447751
442,-0.12274367183573964
443,-0.1254139759239843
444,-0.12689774954850552
445,-0.1460246478316406
446,-0.13662362488847923
447,-0.13675129894630922
448,-0.1349160241744477
449,-0.1322090732872575
450,-0.1250916624149352
451,-0.11646105650915461
452,-0.11373030539777762
453,-0.10106971736985904
454,-0.09418269799870127
455,-0.1103156054830513
