t,drawdown
0,-0.014240528695004473
1,-0.006588073607217804
2,0.0
3,-0.01067778157820587
4,-0.01774473518585462
5,-0.011828059379654476
6,-2.1537615401134858e-05
7,0.0
8,0.0
9,0.0
10,0.0
11,-0.019350225297146917
12,-0.011135605881232524
13,-0.03176593626508262
14,-0.014496721275357616
15,-0.004156518288354172
16,-0.005370428398376981
17,-0.007305788161201199
18,-0.02105325875602082
19,-0.027439791145392856
20,-0.036680773803662414
21,-0.034185140907888156
22,-0.03375847021168854
23,-0.017691065352556157
24,-0.0033071938732296413
25,-0.01228581110408744
26,-0.03180396739113622
27,-0.03008084527162036
28,-0.019606416077289968
29,-0.012802601677792236
30,-0.02784437124090522
31,-0.047581643277669894
32,-0.06647098782614091
33,-0.06108043166827859
34,-0.04771715302061652
35,-0.04731878051329452
36,-0.059156699689992154
37,-0.03124344560187664
38,0.0
39,-0.0313753766714846
40,-0.02125037847270872
41,-0.02585438526966799
42,-0.04006474734170429
43,-0.03319572578203511
44,-0.02619478783139062
45,-0.021857450611325935
46,-0.019921249730177504
47,-0.023065146596048636
48,-0.007578093553137766
49,-0.02084140676103352
50,-0.03290720737004027
51,-0.054099591909472
52,-0.06148846171726674
53,-0.08211659698463147
54,-0.07924377549100847
55,-0.07349345385354156
56,-0.05886144682439798
57,-0.05788821864315197
58,-0.05242723124091564
59,-0.06462218046752877
60,-0.06408970777682765
61,-0.06909887099628376
62,-0.09154622595376549
63,-0.09235669127802981
64,-0.08377377578089884
65,-0.057400037252938074
66,-0.03466162543315254
67,-0.027820953934281634
68,-0.009225886712570963
69,-0.02168495443819829
70,-0.02413777850780341
71,-0.005366772442274126
72,0.0
73,-0.00914665777454704
74,-0.012427481885161407
75,0.0
76,-0.005373127718519721
77,-0.007831349874574345
78,0.0
79,0.0
80,0.0
81,-0.003232572542058554
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,-0.0023936045627412916
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,-0.0035706806838484706
94,0.0
95,0.0
96,-0.005644642703896752
97,-0.002358392903607509
98,0.0
99,0.0
100,-0.004182777253764924
101,-0.0016567506652082065
102,0.0
103,0.0
104,-0.012160523774135346
105,-0.007895556827873018
106,-0.003070498352873985
107,-0.0005656740733924748
108,0.0
109,-0.002434128815580361
110,-0.005390081967378224
111,-0.00903759454797115
112,0.0
113,-0.002244827120576276
114,-0.010145448416057024
115,-0.00018735026378624564
116,0.0
117,0.0
118,-0.006359418849182896
119,0.0
120,-0.0053847272223386256
121,-0.006163627788368542
122,-0.02436115477385581
123,-0.031748724836147546
124,-0.027857702563025222
125,-0.054472871261567635
126,-0.05744183263202385
127,-0.04654153282333451
128,-0.010764071619626558
129,-0.004139745362359282
130,0.0
131,-0.019882439015067366
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,-0.006536992446697032
138,0.0
139,0.0
140,-0.005513297505865822
141,0.0
142,-0.006638201791035803
143,0.0
144,0.0
145,-0.017205952948619596
146,-0.003883019862733872
147,0.0
148,0.0
149,-0.015616139020754094
150,-0.04434730957258881
151,-0.04482708367016641
152,-0.052987385069964144
153,-0.05033023161419581
154,-0.05324562825412471
155,-0.05696472838632083
156,-0.05249565882324936
157,-0.04723353413811948
158,-0.03872677073612063
159,-0.01941068297409365
160,-0.011195231025807106
161,-0.004709748273420078
162,-0.006915985503271438
163,0.0
164,-0.0038803726991587517
165,-0.005392309249174776
166,-0.01000497417814783
167,-0.019714850406532092
168,-0.007968166131825494
169,-0.023399218179087633
170,-0.011193273337205767
171,-0.006391500335246936
172,-0.03404061432979821
173,-0.059832987776766045
174,-0.06837243187861186
175,-0.08076590984724807
176,-0.06130612279267045
177,-0.0632248609947198
178,-0.06632528102042978
179,-0.05315595195567957
180,-0.060044398468022675
181,-0.07019781060877639
182,-0.07073496633682697
183,-0.07211220239596217
184,-0.0659712210842388
185,-0.05091849419557448
186,-0.045694439381340324
187,-0.049749332887725095
188,-0.04692062984042933
189,-0.03604790298739036
190,-0.0348793179272634
191,-0.023295008842814213
192,-0.05178299153388477
193,-0.05486453181154727
194,-0.06940958467318659
195,-0.06927323042871736
196,-0.0630045026510545
197,-0.06435135375201229
198,-0.0653374116999571
199,-0.07062792214502012
200,-0.08431541174214496
201,-0.08185621315777725
202,-0.06455065049392716
203,-0.06385676126562312
204,-0.07214061530574578
205,-0.07659278359668131
206,-0.06921101459663748
207,-0.08112578921502445
208,-0.06564674895107281
209,-0.059119194603993286
210,-0.060644749288259026
211,-0.061351120598676534
212,-0.07735416235844128
213,-0.07491911118616901
214,-0.08480487848342388
215,-0.08106421864148716
216,-0.06830018294621709
217,-0.06378045472210925
218,-0.06409088375076177
219,-0.050708003472585084
220,-0.05040590060857908
221,-0.05804521714279198
222,-0.056809663724712745
223,-0.06763935611532257
224,-0.0768038340450472
225,-0.07021152263140817
226,-0.06802281476095373
227,-0.052111659599681226
228,-0.0715850351363525
229,-0.06973313081142463
230,-0.062345855310270704
231,-0.09486702053313223
232,-0.10131315799118812
233,-0.09098358322626288
234,-0.12316773005082882
235,-0.11886770218248999
236,-0.12011377520464173
237,-0.12077776125777229
238,-0.13878357714316336
239,-0.1373596606098033
240,-0.13806582784965948
241,-0.13113095656903984
242,-0.13327488126375853
243,-0.12674069950661082
244,-0.11584828553404103
245,-0.10787480188167886
246,-0.11148627764054808
247,-0.1183913873327701
248,-0.11701479829464978
249,-0.13050931051753223
250,-0.10828103189170213
251,-0.10374542160548095
252,-0.10697529473328282
253,-0.10850627694913706
254,-0.10228177366855784
255,-0.08473485670489467
256,-0.09267197086635992
257,-0.10688668792940703
258,-0.07365235799999814
259,-0.08330062034092944
260,-0.11958428066017457
261,-0.11742042359535843
262,-0.13173408919050245
263,-0.13499751140059701
264,-0.12962848259257587
265,-0.12816050017727532
266,-0.14054554755939397
267,-0.14931760521851312
268,-0.14277551850398496
269,-0.15143880386422726
270,-0.12920776183058136
271,-0.14978265285129055
272,-0.15342177613065955
273,-0.15352768090272595
274,-0.17019295054389727
275,-0.1738653258096654
276,-0.16631840940064346
277,-0.1619558539525141
278,-0.15090673363134488
279,-0.16253325495208193
280,-0.18248764465237277
281,-0.1956210977447317
282,-0.1883677452970769
283,-0.18196929208356483
284,-0.1877016636691824
285,-0.1829571478956682
286,-0.1897209036535099
287,-0.19432065221868966
288,-0.19431854179880592
289,-0.1844041723161709
290,-0.1889573242309589
291,-0.20265206034866512
292,-0.21525773588357588
293,-0.19975907942078253
294,-0.2037270984904641
295,-0.20030540673863817
296,-0.19948406043592515
297,-0.20156293901027011
298,-0.19719585361309644
299,-0.20444664633895637
300,-0.2006638285575051
301,-0.1881054381702898
302,-0.1961103250669508
303,-0.19814305504756646
304,-0.20485604082909636
305,-0.21194574255750775
306,-0.229049576485304
307,-0.22096773412621096
308,-0.21660556538400322
