t,drawdown
0,-0.002599299140722766
1,-0.005521459488432523
2,-0.0025567173074214633
3,-0.015072058942691369
4,-0.028169429808459934
5,-0.03858048914327028
6,-0.06583384015245164
7,-0.046503710328606784
8,-0.05186425337913658
9,-0.05440969739129187
10,-0.0382120660013725
11,-0.033347518905536666
12,-0.026202715547939626
13,-0.0254152681034453
14,-0.04624918385159338
15,-0.04837842977289153
16,-0.05571051756549694
17,-0.03770166341711845
18,-0.03654774371867697
19,-0.023663556308773925
20,-0.051753798223323044
21,-0.053882688858026606
22,-0.05502960616243768
23,-0.05667559832284208
24,-0.06693538125487741
25,-0.08186386168494308
26,-0.07339392302530157
27,-0.06186303403246052
28,-0.05499314063817262
29,-0.07091283408121463
30,-0.0382267910661781
31,-0.064703774102431
32,-0.045033021292761766
33,-0.05558994175743914
34,-0.05960212208706506
35,-0.0627120887819046
36,-0.08537605464214248
37,-0.07543429340729835
38,-0.08524139875876124
39,-0.07539642656746404
40,-0.08373477482010805
41,-0.0963851998067009
42,-0.08800733529675642
43,-0.09782077337809225
44,-0.09864921813856442
45,-0.12345988830288201
46,-0.12688760063556248
47,-0.13266980859956246
48,-0.12191647211343293
49,-0.13078014989530107
50,-0.1148645545118473
51,-0.1118685066513514
52,-0.1120904259697777
53,-0.10268176752616454
54,-0.08061286488378494
55,-0.06418946878534015
56,-0.05481577357253775
57,-0.06703730745431313
58,-0.04833587559001151
59,-0.045676531065617976
60,-0.05366142909808902
61,-0.06576624569177991
62,-0.046307103235533886
63,-0.030227292019918583
64,-0.05279591129571459
65,-0.039265779928020494
66,-0.04759561941455781
67,-0.05871300769872123
68,-0.0874684272825681
69,-0.08000606852491043
70,-0.07781179661335813
71,-0.07987595388453628
72,-0.07365428583556732
73,-0.0806015192763353
74,-0.1005578148144346
75,-0.10011185141085088
76,-0.10175015445282287
77,-0.11403719945907043
78,-0.1013439501137069
79,-0.10689247208947772
80,-0.09607202268398474
81,-0.08865057624541195
82,-0.0949603696297141
83,-0.11270214948719859
84,-0.11405540364963607
85,-0.11911726414541535
86,-0.12114872638374541
87,-0.1238545174113258
88,-0.11263297535230221
89,-0.09664492996985108
90,-0.09925516250602262
91,-0.10399359225686233
92,-0.12917316007231772
93,-0.15304917568612175
94,-0.1458179473158273
95,-0.12881877690651078
96,-0.13108395640853454
97,-0.1362573663924903
98,-0.14465727005092788
99,-0.1416187306379335
100,-0.13209513380594162
101,-0.13556498453865828
102,-0.13807591517665752
103,-0.12153604563431608
104,-0.12778793273154987
105,-0.11249089996840955
106,-0.11910145222994184
107,-0.13194820001954322
108,-0.14553101700956494
109,-0.13127113336660834
110,-0.1251341031256652
111,-0.13146893883699295
112,-0.1382339806696664
113,-0.12426977966209718
114,-0.12763003604208678
115,-0.15012739401286568
116,-0.1529461978422313
117,-0.1642677976049285
118,-0.17154489317666943
119,-0.19098763588181644
120,-0.19421634103914032
121,-0.1913240659746237
122,-0.18927503634711396
123,-0.20379252638017487
124,-0.18244061457090976
125,-0.19716372816161654
126,-0.17302205692414419
127,-0.1704381004058514
128,-0.17909408323432408
129,-0.18906885704199494
130,-0.19335168647411283
131,-0.18889880547431703
132,-0.18330206394077797
133,-0.18095016085779791
134,-0.1698581557453599
135,-0.19275288058512574
136,-0.19330095421453108
137,-0.1919984405903471
138,-0.17947522743812072
139,-0.16785454650040366
140,-0.15778132771575293
141,-0.1741331589231777
142,-0.15784603872357184
143,-0.17977296621905925
144,-0.18012067796409514
145,-0.16291103448394384
146,-0.16523089828787063
147,-0.15660256594713273
148,-0.147013858251261
149,-0.12879126614973813
150,-0.13495835154911662
151,-0.12782934295403536
152,-0.11606830170433735
153,-0.12111048402009117
154,-0.09773410096048707
155,-0.09979283291369023
156,-0.07223031312698946
157,-0.07984488102269083
158,-0.09446875034263658
159,-0.08465324446803324
160,-0.09233873384906421
161,-0.08457346844766911
162,-0.08913441384308951
163,-0.10170034588293753
164,-0.071725394183066
165,-0.07937430366226217
166,-0.07481465974660895
167,-0.08482754228068967
168,-0.08911441827789479
169,-0.09454976020592099
170,-0.08379077000047375
171,-0.08246138681626447
172,-0.05640543071467974
173,-0.047539694910997965
174,-0.027811102244524433
175,-0.016899165779314163
176,-0.0011968419049405155
177,-0.01745909727677042
178,-0.012978286118367155
179,0.0
180,0.0
181,0.0
182,0.0
183,-0.001986339835718054
184,0.0
185,0.0
186,-0.013381536609740952
187,0.0
188,-0.026937326143177787
189,-0.02616763724804294
190,-0.03987583549586016
191,-0.04196560191438581
192,-0.06558495801764108
193,-0.05557914620117732
194,-0.04969734568540807
195,-0.058718436241041005
196,-0.06025695775854345
197,-0.06755162510465273
198,-0.0787925263659599
199,-0.08857634920766844
200,-0.09435148266492766
201,-0.08903923604504793
202,-0.09986717175090176
203,-0.11199886901179967
204,-0.10312040886272444
205,-0.10718308631660523
206,-0.08286759907109087
207,-0.08168394921903521
208,-0.07895114858527819
209,-0.10388856453866124
210,-0.11391194796447057
211,-0.11296735758739562
212,-0.10011843080094518
213,-0.09188766613832144
214,-0.09263324135351636
215,-0.0877321384191827
216,-0.09079265908670153
217,-0.0883283078944942
218,-0.09968904497976572
219,-0.10326620713137158
220,-0.09262436447802025
221,-0.1015515508342194
222,-0.11405190921464037
223,-0.10580725356328613
224,-0.1099039696259676
225,-0.10663731380658936
226,-0.10801385423378862
227,-0.11511505217045903
228,-0.13210677124912262
229,-0.1309425914251795
230,-0.11700016294451843
231,-0.13609548177199848
232,-0.1120604911884947
233,-0.09667514102830044
234,-0.08339338132438268
235,-0.10290084918721021
236,-0.10185731059784842
237,-0.12014050026940493
238,-0.11543939846411388
239,-0.1258725360576326
240,-0.13602823040258882
241,-0.13253418488361657
242,-0.1509361150514984
243,-0.15053694434232023
244,-0.14813647801948826
245,-0.15917726581640645
246,-0.1470522396445938
247,-0.15737849610375598
248,-0.14446518769407957
249,-0.1418142050537995
250,-0.14878337472058722
251,-0.15918811675736488
252,-0.14731118578037306
253,-0.14244185273844878
254,-0.14295715511013107
255,-0.13517647666490007
256,-0.14968759897421102
257,-0.1432018974685767
258,-0.13254018258048206
259,-0.11997468910316644
260,-0.10897661336627906
261,-0.10222820579447123
262,-0.08175606611500608
263,-0.08011806833573198
264,-0.08961818300255964
265,-0.10882349849060813
266,-0.10857501978702622
267,-0.10372433692163874
268,-0.08828365491409185
269,-0.09436724162574395
270,-0.07667093400725511
271,-0.0877134404400608
272,-0.08536538899957813
273,-0.08156412031570681
274,-0.05008623853090288
275,-0.03838007716738612
276,-0.03376161887558504
277,-0.0010017020670510801
278,-0.02382753713241037
279,-0.011157813961841567
280,-0.016798989653622254
281,-0.034342285236860226
282,-0.05534266791536069
283,-0.03753902474773363
284,-0.03260687376233162
285,-0.02709733727725816
286,-0.035967348477040195
287,-0.055392115406730724
288,-0.07510379014674384
289,-0.0711922802139916
290,-0.06925435236618205
291,-0.07230993488089188
292,-0.07431173132131741
293,-0.06414497737130087
294,-0.06476210721218933
295,-0.07689010172322674
296,-0.0813284223759011
297,-0.07038746723810174
298,-0.06138900776799738
299,-0.033319623938921517
300,-0.04920314202248299
301,-0.05250941761935235
302,-0.046284960728856905
303,-0.05473069354188964
304,-0.04472651970294028
305,-0.04935624581773246
306,-0.05426862783850572
307,-0.045981260514967315
