t,drawdown
0,-0.009912658976989563
1,-0.036744516658806514
2,-0.023459402396274087
3,-0.02233842017944021
4,0.0
5,0.0
6,-0.022575304641442195
7,-0.046820169011879464
8,-0.04436047168265034
9,-0.04044927355328254
10,-0.04953260151957273
11,-0.03472437617785473
12,-0.02531040333331891
13,-0.015742087033989494
14,-0.02369677827322303
15,-0.010710137726624436
16,-0.008633664442722622
17,0.0
18,0.0
19,0.0
20,-0.012750624640686103
21,0.0
22,0.0
23,0.0
24,-0.009705858656862798
25,-0.005602656372118986
26,-0.009582171015563024
27,-0.0009499327508331046
28,-0.006092685758686711
29,-0.01923505725249497
30,-0.056934155997380276
31,-0.06591352630783409
32,-0.09295248323648775
33,-0.08459480927490914
34,-0.07828295623909631
35,-0.0669186597308512
36,-0.09492058162286388
37,-0.08498603120807224
38,-0.06792712782531796
39,-0.059923365322563704
40,-0.0642569559705587
41,-0.0794190059922465
42,-0.10729580305582753
43,-0.09789425435195209
44,-0.07415704203718643
45,-0.0780702520986174
46,-0.07833327171682403
47,-0.06099301583228256
48,-0.06544250201319479
49,-0.060196505562919445
50,-0.055679711990169745
51,-0.043630432984451684
52,-0.035988705905640406
53,-0.021475435383072505
54,-0.01503047595063034
55,0.0
56,0.0
57,0.0
58,0.0
59,-0.023451824814124445
60,-0.01554535049547956
61,-0.03672033913867123
62,-0.030880893818497457
63,-0.016127881785355846
64,-0.011093178445913177
65,-0.0230041859559319
66,-0.029011148094255423
67,-0.00848021671850141
68,-0.004450572749973403
69,-0.004211654251230712
70,-0.014421092036389305
71,-0.006658845782921197
72,0.0
73,-0.009228437906114162
74,-0.011074794581194092
75,-0.01659801685772222
76,-0.030728561172060687
77,-0.022247155569326882
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,-0.012521889400944342
85,0.0
86,-0.01072721747328842
87,-0.002676428824891164
88,-0.0053290595306609845
89,0.0
90,0.0
91,-0.013480664377115592
92,-0.019876862503663273
93,-0.01385114089340822
94,-0.02215913281065529
95,-0.03501507023449446
96,-0.047729301577986494
97,-0.0384693882436411
98,-0.04475113861793134
99,-0.048193827080720064
100,-0.04311262502923707
101,-0.06633423288467843
102,-0.08001387455446862
103,-0.0871882401763091
104,-0.08752992612280974
105,-0.07117906386594652
106,-0.07058187441793218
107,-0.040520910261164
108,-0.0181170156947581
109,-0.012813649403189853
110,-0.020798103317766214
111,-0.0011032220306075313
112,-0.024078850718785016
113,-0.000544702992812951
114,-0.00485374321696308
115,-0.002765022359954905
116,-0.015121015885301015
117,-0.015726066047899168
118,-0.012695627414072486
119,-0.013205732541339277
120,-0.02280585576277927
121,-0.010570305310465433
122,-0.012359302941430728
123,0.0
124,-0.008456321114903131
125,0.0
126,0.0
127,-0.02546939665966208
128,-0.05072984412405357
129,-0.045861019448856344
130,-0.05518471061712371
131,-0.037597851553116346
132,-0.00886806101151949
133,0.0
134,-0.020326544628908927
135,-0.00631097983299389
136,-0.012041329585794847
137,-0.007236720459679935
138,-0.015078369143165848
139,-0.04557518753627343
140,-0.053919853730051925
141,-0.04984909153296446
142,-0.06601962216692192
143,-0.04707126678721685
144,-0.06631949981598584
145,-0.07589994611151007
146,-0.042770750814211334
147,-0.029130211091905722
148,-0.04748041761541166
149,-0.050950444358295544
150,-0.03308060891119402
151,-0.05798783108366745
152,-0.04302340186911202
153,-0.05256752058435399
154,-0.05678739181588632
155,-0.06717162304105817
156,-0.04776407424845719
157,-0.036279358019978836
158,-0.02753133741115421
159,-0.030389649626441306
160,-0.06431218142286843
161,-0.05788524622501168
162,-0.07021254582028769
163,-0.08707779095009271
164,-0.0766922398647657
165,-0.08219350435807349
166,-0.07208048580243409
167,-0.07651900286238233
168,-0.06733669922508323
169,-0.06891087643530425
170,-0.05787448488000091
171,-0.08989698342491081
172,-0.09235369422029505
173,-0.09130088034179329
174,-0.07671193900446371
175,-0.06559420448938524
176,-0.05968918200615159
177,-0.06349331651566559
178,-0.035946229594014834
179,-0.051359105939968175
180,-0.0625083939224026
181,-0.06147777713789926
182,-0.042265993412149094
183,-0.0391867180925084
184,-0.04361413810712933
185,-0.05607548884647506
186,-0.046636149487122025
187,-0.05527401248204211
188,-0.05636191318866213
189,-0.06770199490364692
190,-0.06619776751552742
191,-0.06935055044616567
192,-0.03997142733171721
193,-0.04440596109473183
194,-0.0612518064254739
195,-0.08350075110125554
196,-0.07874427472943724
197,-0.07394433450727456
198,-0.08341713401101059
199,-0.08621881945511412
200,-0.08046615489067865
201,-0.0998102125549577
202,-0.09934472722436216
203,-0.09237523363608091
204,-0.0990301366929428
205,-0.10289821646171737
206,-0.11086996339807065
207,-0.08531359456443144
208,-0.08590110716152677
209,-0.09068402542154386
210,-0.07442687211610632
211,-0.07706674134218339
212,-0.07418969896888095
213,-0.05240971279595508
214,-0.0653213555716764
215,-0.047690643056155446
216,-0.0353642869964681
217,-0.04195081214115215
218,-0.02269509504357614
219,-0.00035219807924080637
220,0.0
221,-0.0059405563394904215
222,-0.009560278197668026
223,0.0
224,-0.00757412605572616
225,-0.023954449631365282
226,-0.021325575700661847
227,-0.027616350676664125
228,-0.00039422356027918326
229,0.0
230,-0.005493306335330739
231,0.0
232,0.0
233,-0.018565449290572356
234,-0.03025141122753683
235,-0.04341923739543485
236,-0.01881606983269346
237,-0.0063773683111073565
238,-0.01389984606282002
239,-0.016537375696423884
240,0.0
241,-0.022403446482426537
242,-0.04847203383600662
243,-0.04534736289740038
244,-0.05328651648863547
245,-0.05313909798881988
246,-0.07482485357171542
247,-0.09004436146240524
248,-0.07682255435724772
249,-0.06506485824902808
250,-0.062175627630648655
251,-0.07746119616422498
252,-0.0641914720888177
253,-0.09572843979429269
254,-0.08666870607005239
255,-0.06424978322234576
256,-0.056854802978233754
