t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.0024784381181598425
5,0.0
6,-0.037212192545475475
7,-0.0345036921025087
8,-0.021399551917881787
9,-0.02135941586238832
10,-0.0509854271991933
11,-0.07208001502887085
12,-0.0697237585340994
13,-0.07259809771716053
14,-0.06392411240221585
15,-0.07044113574195376
16,-0.061137938383130974
17,-0.06342688263984453
18,-0.07865215258004477
19,-0.07679484480811427
20,-0.07968120803768608
21,-0.0846084538725107
22,-0.10625916527715984
23,-0.12414616574379012
24,-0.12613685590446544
25,-0.13323756885434002
26,-0.1485531362142447
27,-0.10583408374055159
28,-0.09013441543207112
29,-0.09959197660030306
30,-0.09216620263582576
31,-0.06616613360894652
32,-0.0647179152646069
33,-0.08165556084919956
34,-0.07994446771645547
35,-0.07356984283450452
36,-0.06932154860088602
37,-0.06582093390141586
38,-0.055470957763640416
39,-0.040358005206190595
40,-0.014985699896613802
41,-0.024158885373574357
42,-0.02337648668991421
43,-0.048381878114456045
44,-0.0333781063035925
45,-0.04925493569232642
46,-0.022290240810441952
47,-0.016923794728320063
48,-0.030505975153378717
49,-0.013440096152925851
50,-0.011231243691177673
51,-0.035192626232135704
52,-0.018800226293952726
53,-0.035891904222367876
54,-0.06769065312902744
55,-0.06929709935155115
56,-0.0811021994065253
57,-0.0815243711541479
58,-0.08266445013985568
59,-0.07689630312897755
60,-0.05768125866634599
61,-0.04844121241017929
62,-0.03130601737850092
63,-0.032845606509802616
64,-0.038397788229918794
65,-0.05100963858672791
66,-0.06936570781410578
67,-0.08905256118154747
68,-0.07484511874126765
69,-0.0843148744409965
70,-0.08041441327722876
71,-0.06788301482228654
72,-0.07002128399478458
73,-0.05048492375722813
74,-0.06057359247813299
75,-0.04689334145297863
76,-0.05128453123952048
77,-0.0689290103750766
78,-0.08625071647238591
79,-0.08485841192574894
80,-0.08517747976219436
81,-0.09581966464889069
82,-0.10051979873293304
83,-0.09724978528992612
84,-0.11202133900664635
85,-0.11686870195058041
86,-0.10291798454070833
87,-0.09679387458874578
88,-0.08950351525591727
89,-0.09361047086161634
90,-0.08996835223700173
91,-0.07964789431212271
92,-0.0776668181593343
93,-0.050426634507346524
94,-0.05699578188362675
95,-0.04706576681243946
96,-0.057199210101350095
97,-0.08084004742583373
98,-0.08557693415378331
99,-0.0850272970131769
100,-0.061565947294453194
101,-0.06381150524236323
102,-0.05040571732170862
103,-0.02895998867573868
104,-0.04052779343474944
105,-0.05861832528253419
106,-0.05472359732302967
107,-0.0408785146372993
108,-0.03848116145918967
109,-0.012455578931510947
110,-0.008805504282460297
111,-0.0158881639648637
112,-0.011511192873270404
113,-0.028283412254153983
114,-0.022426529467894474
115,-0.017654916069211768
116,-0.038079967197382825
117,-0.014646991455497305
118,-0.01366979836975235
119,-0.008980718731634085
120,-0.007772487761577573
121,-0.005238956298154518
122,-0.02290318225464738
123,-0.03312531840425248
124,-0.02932430779411177
125,-0.041862582503557455
126,-0.06117150010033401
127,-0.03512973868325553
128,-0.0556098506823528
129,-0.0407236439727483
130,-0.035791483991355566
131,-0.054750982419373706
132,-0.06454878780231266
133,-0.08566170672029383
134,-0.07084487269945172
135,-0.06613090771242924
136,-0.05559031070898868
137,-0.05410529173064149
138,-0.07413235459975331
139,-0.09042585121636892
140,-0.1004226274820128
141,-0.09217137761094307
142,-0.11753159949004743
143,-0.08987347142705515
144,-0.07397126496089523
145,-0.06515597295171938
146,-0.0704787096624162
147,-0.06624654728329948
148,-0.07317460098543904
149,-0.11035589188860662
150,-0.10229090678137143
151,-0.0906383949787758
152,-0.08144500215811146
153,-0.10163500211153775
154,-0.09805414173108595
155,-0.08977431382385126
156,-0.07531604015065985
157,-0.05675037695434615
158,-0.056791093499028444
159,-0.045528502277312644
160,-0.05076302600992688
161,-0.03273989594085014
162,-0.019334385212507188
163,-0.022430526767676096
164,-0.007512838481645079
165,-0.012060872587384974
166,-0.027852387109236654
167,-0.020092814741255127
168,-0.0006466647229554923
169,-0.028917044364514477
170,-0.044236274791207175
171,-0.04063651848482919
172,-0.01053201353269051
173,-0.02510799828896737
174,-0.020685580496263123
175,-0.009219486694866164
176,-0.004279355559022147
177,0.0
178,0.0
179,0.0
180,-0.00426833011196337
181,0.0
182,-0.001549171981018671
183,0.0
184,-0.02482272494283244
185,-0.02170990769168679
186,0.0
187,-0.0036019100425748185
188,-0.0307699842279745
189,-0.026028278484559797
190,-0.033201014751820024
191,-0.0555016960460083
192,-0.04848258872595235
193,-0.05040794879611454
194,-0.05172376243330978
195,-0.031856199620989845
196,-0.03003608952505421
197,-0.02117412122767426
198,-0.006393037413438218
199,0.0
200,-0.0048277568915332525
201,0.0
202,0.0
203,0.0
204,-0.02170714845923183
205,-0.038676920863205955
206,-0.04236873692700138
207,-0.0572768147640913
208,-0.02631016673443587
209,-0.01932974893831363
210,-0.01296273311545304
211,-0.020376407173267497
212,-0.028011833049163548
213,-0.02585048287244307
214,-0.03727521804164313
215,-0.025861888998600313
216,-0.029834012578432878
217,-0.055138162852374606
218,-0.008281813381272762
219,0.0
220,-0.017227136804920162
221,-0.028013791316439107
222,-0.03707869276925535
223,-0.06992881219603075
224,-0.05805508898477052
225,-0.05903779225045025
226,-0.051130712455722316
227,-0.05832736080382983
228,-0.06214438408196932
229,-0.06448829463018912
230,-0.06446485116051748
231,-0.06843379752972067
232,-0.07271828589277296
233,-0.06876451461624389
234,-0.06473176180747997
235,-0.07552649538762835
236,-0.06118417771235474
237,-0.0868001246044906
238,-0.08511406695302048
239,-0.07868738334817404
240,-0.07309057718038259
241,-0.06881783527977536
242,-0.06806263028777426
243,-0.06037105299787482
244,-0.07610651359044218
245,-0.0641700034513949
246,-0.0718366997114912
247,-0.06260545598793221
248,-0.06821481215936376
249,-0.05022217403593232
250,-0.04542006458600889
251,-0.05940368348489855
252,-0.05961105401128508
253,-0.06018228775252221
254,-0.036066344511409
255,-0.03230596427857224
256,-0.038171954337511305
257,-0.03452005495205135
258,-0.006898258195971341
259,-0.04670207914593827
260,-0.0559033028186704
261,-0.06839507864939609
262,-0.05406351159917033
263,-0.049636633149696685
264,-0.05857780104306698
265,-0.069296299461587
266,-0.058738956284588695
267,-0.03180364061029628
268,-0.04280222243141463
269,-0.029418232881178397
270,-0.03199064474855384
271,-0.025260706713890912
272,-0.028154232995041384
273,-0.017130771808764433
274,0.0
275,-0.008557739621993021
276,-0.030672696253386755
277,-0.007418877459464457
278,-0.028879320021199972
279,-0.028052280974980026
280,-0.02188685367333787
281,-0.013374706456258267
282,-0.03473638396173384
283,-0.03655914571561347
284,-0.03748613470520601
285,-0.014479599652308606
286,-0.008150134305937251
287,-0.015713567225752012
288,-0.0227594634983741
289,-0.038655009869526635
290,-0.03878439158051883
291,-0.04557729170668079
292,-0.06497124449120573
293,-0.05166162132653307
