t,drawdown
0,0.0
1,-0.018875075039214484
2,-0.01982246039591873
3,-0.010598647966324037
4,-0.010626872888423677
5,-0.01084387517968255
6,-0.01876821678410623
7,-0.015211570923940765
8,-0.026493193952234373
9,-0.03797505620683639
10,-0.015621706601063212
11,-0.024154357657729553
12,-0.016097538594478045
13,-0.009787993107764681
14,-0.00124297026151865
15,-0.004056942178093603
16,-0.006800548152059549
17,0.0
18,0.0
19,-0.016923147111580605
20,-0.01721206826517152
21,-0.022136902626109345
22,-0.006434390194979267
23,0.0
24,-0.01710424302208735
25,-0.030047828100820406
26,-0.01656652036230677
27,-0.0076442186543946855
28,-0.011411988142760565
29,-0.02835395539925567
30,-0.016757199874633866
31,-0.01889541508750503
32,0.0
33,-0.012382383353821469
34,-0.011768762708014413
35,-0.0018909215621850661
36,0.0
37,0.0
38,0.0
39,0.0
40,-0.008942856153760337
41,-0.029369919163922398
42,-0.020090623312904454
43,-0.00993687906353713
44,-0.003876080329404785
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-0.029048010129568147
51,-0.01900702056261594
52,-0.022817505337573762
53,-0.003558467661578635
54,-0.006123065772594027
55,-0.018943715083986068
56,-0.019065494776842606
57,-0.04827697338946979
58,-0.05375291963255213
59,-0.059971222945432334
60,-0.04439556434156422
61,-0.017483234884805854
62,-0.016287463769993016
63,-0.007944776989489144
64,-0.013885629786166809
65,-0.004267196448702992
66,0.0
67,-0.019408163771584275
68,0.0
69,-0.019316235249450253
70,0.0
71,0.0
72,0.0
73,-0.013527527699829012
74,0.0
75,-0.001539469856387199
76,0.0
77,-0.026676467606310594
78,-0.06604701885377329
79,-0.07534493503714168
80,-0.08767234244310895
81,-0.05886562980174015
82,-0.044666471587379686
83,-0.016344936072772986
84,-0.007641628231303876
85,-0.00941133644800174
86,-0.00842096685948468
87,-0.019457965997821458
88,-0.02422877567530679
89,-0.026544914007226916
90,-0.042446916758683506
91,-0.06491627874102612
92,-0.055376959147740545
93,-0.026806513094110418
94,-0.041895662323578775
95,-0.052885515532909655
96,-0.056943823426881646
97,-0.06703573408677954
98,-0.07385981814405918
99,-0.09253877069755123
100,-0.11758705573744099
101,-0.11598815637495574
102,-0.07804282400101425
103,-0.06624943684011142
104,-0.0798985472464
105,-0.10915660679461958
106,-0.11508856188420957
107,-0.12255980505346653
108,-0.14542439174303645
109,-0.16923813937173726
110,-0.17025526597645135
111,-0.17126500465359507
112,-0.18114440821126598
113,-0.1629936974567574
114,-0.15120927741793966
115,-0.1560610346670559
116,-0.1631247656031125
117,-0.13664752706379768
118,-0.15105224863803446
119,-0.14568915712390007
120,-0.1522869341507297
121,-0.15397826201777498
122,-0.14928346579074436
123,-0.15861119710864802
124,-0.1525456628501598
125,-0.13787681586500444
126,-0.1503612783805427
127,-0.1522870160533668
128,-0.13674091939287136
129,-0.12663821194598335
130,-0.11775766805527521
131,-0.10910219592088044
132,-0.07909112874678048
133,-0.08354908095448288
134,-0.08942141796921566
135,-0.07593356124213912
136,-0.057539310577607305
137,-0.03733441438032936
138,-0.028817268002061303
139,-0.04465889210776208
140,-0.057789767488165444
141,-0.06977327299449976
142,-0.07234987346447175
143,-0.08827808495939438
144,-0.09998016918068453
145,-0.08441237682945535
146,-0.06810335119783817
147,-0.05073583166128115
148,-0.0483144368043259
149,-0.04079065505389701
150,-0.04683195745724045
151,-0.03859601825231185
152,-0.02279514418849904
153,-0.01316737411225899
154,-0.02638633649102473
155,-0.031672532900037464
156,-0.053643013253806604
157,-0.048241832312980404
158,-0.05549509783131246
159,-0.06335966050606867
160,-0.07472214806545618
161,-0.07782766753445458
162,-0.08387110374309881
163,-0.11131402262352219
164,-0.09173043034794515
165,-0.08272112714646385
166,-0.09020620236521104
167,-0.08128271752554961
168,-0.07984541194989914
169,-0.06359024014620895
170,-0.07204759666166294
171,-0.07155832713022658
172,-0.08715940704920133
173,-0.09935969838636283
174,-0.10465333316398695
175,-0.11997221488684406
176,-0.11665030748545346
177,-0.11613756239179196
178,-0.11331698415256863
179,-0.10659079603881694
180,-0.09177771229659337
181,-0.08387340956283451
182,-0.1030031565872438
183,-0.08356881711852748
184,-0.07044834957585344
185,-0.050385835992270867
186,-0.04543918689515036
187,-0.02252620219408652
188,-0.052891245860828384
189,-0.03824096632948304
190,-0.04093043689425113
191,-0.04706603204354154
192,-0.041023344631551106
193,-0.05279635308073294
194,-0.04608221492832976
195,-0.07244456226745688
196,-0.05711309194485159
197,-0.04775857672053263
198,-0.027405090096899065
199,-0.01640731073410029
200,-0.019947809512916748
201,-0.01989777429858952
202,-0.020491629570114966
203,0.0
204,0.0
205,-0.02310539647522103
206,0.0
207,-0.015850770318432628
208,-0.024352091424836853
209,-0.05254556378252884
210,-0.046093707244332816
211,-0.07256353833679385
212,-0.05988519510182322
213,-0.044829798679132615
214,-0.028252892389384776
215,-0.014765322370657752
216,-0.0462056537331329
217,-0.05462227901611749
218,-0.03280103369003862
219,-0.0327360475016889
220,-0.06076209768812513
221,-0.06483219881290525
222,-0.05347921635421926
223,-0.06590090782390368
224,-0.0505922033496633
225,-0.062043411128782755
226,-0.05166359390620323
227,-0.05918081961509947
228,-0.06403852017854217
229,-0.06373906286238429
230,-0.06795992509129678
231,-0.03976970983652073
232,-0.03257249154989306
233,-0.01701844442992828
234,-0.011108530749471046
235,-0.007981389788960902
236,-0.012315640599560473
237,-0.011888999842577186
238,-0.011834044335908511
239,-0.021802645256520092
240,-0.04409671960254358
241,-0.05864540963850595
242,-0.05374905824705145
243,-0.06526726842125341
244,-0.07388601132106498
245,-0.09373215909832977
246,-0.11110114960480955
247,-0.09375720757071226
