t,drawdown
0,0.0
1,0.0
2,-0.023302212693538715
3,-0.05968990010160091
4,-0.03502148782380421
5,-0.03540727037473235
6,-0.04406523577718302
7,-0.03986718964791747
8,-0.04711079348907077
9,-0.01994848970911911
10,0.0
11,0.0
12,-0.016341866781684256
13,-0.00032913970528680725
14,0.0
15,-0.008307693268886918
16,-0.008088187432188976
17,-0.0009966358057631464
18,0.0
19,-0.0019080196390773851
20,-0.001167284893682674
21,0.0
22,-0.009641771104434094
23,-0.03929692704335375
24,-0.05455531289242377
25,-0.048613831109580286
26,-0.03887424448535204
27,-0.03577102347650607
28,-0.019386936250571307
29,-0.007567001635410131
30,0.0
31,0.0
32,0.0
33,-0.003543639355280903
34,-0.022734451258531463
35,-0.03074767435368242
36,-0.029105194555322567
37,-0.028086919733977367
38,-0.03786750930671645
39,-0.048279357507495235
40,-0.05350930707750268
41,-0.06211576736706159
42,-0.06122840155858578
43,-0.04680980906867038
44,-0.027713818994676287
45,-0.030749985040404826
46,-0.02925745833075466
47,-0.015480508702785278
48,-0.014917799033509316
49,0.0
50,-0.010191609097175536
51,-0.006074436687959595
52,-0.013097654969414951
53,-0.019467853917408906
54,-0.04451488490909161
55,-0.0640148552133234
56,-0.055104179503444706
57,-0.059178149269979
58,-0.050424799800514175
59,-0.04985683638159699
60,-0.03600599947174199
61,-0.018938686851153075
62,-0.012195632845904525
63,-0.006776481144877611
64,-0.02519448140204117
65,-0.003943955274006483
66,-0.009793785252022458
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,-0.017946829703681777
74,-0.04659915941886339
75,-0.0533289438269382
76,-0.06365190695754153
77,-0.04151065786854491
78,-0.04212723032218024
79,-0.05235481446893031
80,-0.05805522373675387
81,-0.06634909414235324
82,-0.05684465506625469
83,-0.059381624940824884
84,-0.06372640357266635
85,-0.06146580089377818
86,-0.0666783049171421
87,-0.07083289345348609
88,-0.05794424636697182
89,-0.04852935820535054
90,-0.04846004810906912
91,-0.06589987294861133
92,-0.0722339733319155
93,-0.0787567760933463
94,-0.07283882148493592
95,-0.09578892233008574
96,-0.09166364245839054
97,-0.09508157661401417
98,-0.08377830412937493
99,-0.07819615437765326
100,-0.07189353877832716
101,-0.06823834660107664
102,-0.0755205403651269
103,-0.08041389870609628
104,-0.12073745419968751
105,-0.10938630111458303
106,-0.10516045884613512
107,-0.12782847582641477
108,-0.1287163097034858
109,-0.11425568491318072
110,-0.12412439518447849
111,-0.13721105333682537
112,-0.12380065220936531
113,-0.1170115604519768
114,-0.11915040130485888
115,-0.10640225716178808
116,-0.10516949203558579
117,-0.10351758572319969
118,-0.07969236662579426
119,-0.0786686683682778
120,-0.07101868054900629
121,-0.07517957912564877
122,-0.06300341999757308
123,-0.06747714062589716
124,-0.06529381990215177
125,-0.048819060355901556
126,-0.04385258802168002
127,-0.06402355593130427
128,-0.05865699062873686
129,-0.0359592167741033
130,-0.018659750994280966
131,-0.03130459568494415
132,-0.058717920241754706
133,-0.05833522312508488
134,-0.04378174357275466
135,-0.0339132346420129
136,-0.0496974035552441
137,-0.021067679432808073
138,-0.03914796633217721
139,-0.04646358962138597
140,-0.03266230052276675
141,-0.030390548359023883
142,-0.0107880479267638
143,-0.008656960755594079
144,0.0
145,0.0
146,0.0
147,0.0
148,-0.010136396081091181
149,-0.011577962930212293
150,-0.006190517161828724
151,-0.005126998702126961
152,-0.0015291374199510877
153,-0.0016715290682431938
154,0.0
155,-0.012061555045485117
156,-0.01742197658836464
157,-0.024882564632555892
158,-0.026459327596729643
159,-0.03649746770238638
160,-0.037410258231384
161,-0.03798097157536107
162,-0.038921091169167865
163,-0.017842106273658787
164,-0.0163324921455531
165,-0.021306200875640058
166,-0.029171063068562764
167,0.0
168,-0.00038313835559988796
169,-0.004236510600103549
170,0.0
171,0.0
172,0.0
173,0.0
174,-0.01576217331076124
175,-0.010173053160315138
176,-0.031912636161044894
177,-0.006752121704719172
178,-0.0057187108918778096
179,-0.004317374890703607
180,0.0
181,-0.01672499400540506
182,-0.011594409541052175
183,-0.03031653895355757
184,-0.03733965244397053
185,-0.018102539683341967
186,-0.0029848669636127756
187,-0.007985878485434639
188,-0.010120247386095294
189,-0.022730452552588987
190,-0.014130526420784717
191,-0.010842243144357333
192,0.0
193,0.0
194,-0.004532932833635206
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,-0.0006987691106883354
203,-0.004206800409273015
204,-0.011018926863086365
205,-0.04397491897845096
206,-0.03490925143884471
207,-0.031459850300307846
208,-0.026029298561270675
209,-0.054015727792891544
210,-0.05928663973295201
211,-0.0570074949397078
212,-0.02051028965334223
213,-0.024778839547076492
214,-0.01679410174423479
215,0.0
216,-0.009904100551194062
217,0.0
218,-0.004100298880622688
219,-0.0028896367968719305
220,0.0
221,0.0
222,-0.003350104226791051
223,0.0
224,0.0
225,-0.0016469670335866882
226,0.0
227,-0.0007773285320584744
228,-0.002534997856475152
229,-0.006184628340327403
230,0.0
231,0.0
232,-0.019278071302841093
233,-0.0011055064138821846
234,-0.006773663781331818
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,-0.011111052981748304
242,-0.014872517503518923
243,-0.015757794377642798
244,-0.013595784386081444
245,0.0
246,-0.008218264904574668
247,-0.003417257559075293
248,-0.022027749090782756
249,0.0
250,0.0
251,-0.024063419915354656
252,-0.009926264704903098
253,-0.007919223030562805
254,0.0
255,-0.035484476131770304
256,-0.016618535265409906
257,0.0
258,-0.0020230498991065105
259,-0.006032833761006162
260,0.0
261,0.0
262,-0.011893164341335916
263,-0.012221191992557667
264,-0.017062055051136227
265,-0.043643097504803885
266,-0.05556829650756878
267,-0.05027248118264149
268,-0.06555015074445847
269,-0.07820792361892426
270,-0.08359641461166167
271,-0.07648367686133217
272,-0.07153878373299405
273,-0.06005629191328388
274,-0.04608929699791986
275,-0.028191066393432718
276,-0.030293536055685077
277,-0.03428743466743278
278,-0.04514602081274466
279,-0.042481533405507754
280,-0.05759011026755345
281,-0.052226889071007476
282,-0.04518269960535459
283,-0.04315668470401912
284,-0.037971052409761286
285,-0.02702803669506071
286,-0.024314510846969783
287,-0.016911020846035685
288,-0.016933500980887417
289,-0.023030431384921446
290,-0.009043257909763569
291,0.0
292,0.0
293,-0.002261530557644109
294,-0.01986799491788338
295,-0.009069736917942772
296,-0.009994624782485695
297,-0.02392610233880843
298,-0.018981942541392738
299,-0.011326615227666204
300,-0.010798208546111687
301,-0.0492840342711125
302,-0.027703003455645914
303,-0.016023429176104775
304,-0.0004509717511371747
305,-0.004078163605910179
306,-0.02009761521671627
307,-0.011059810907878442
308,-0.012559053105421492
309,-0.027430523827892683
310,-0.02148105033546377
311,-0.005550329580268243
312,-0.022520453377991467
313,-0.03695369975122986
314,-0.04345057107766814
