t,drawdown
0,-0.012183181961614942
1,-0.0279887327569035
2,-0.0172866306895052
3,-0.029964596991924886
4,-0.037924734140995287
5,-0.051131545649473864
6,-0.06328618400048647
7,-0.05229155063414692
8,-0.058572873047648466
9,-0.0500046512630018
10,-0.03474498519964697
11,-0.018579729284411428
12,-0.018873430249422563
13,-0.008160406347137661
14,-0.01826301584984047
15,-0.02049842431061777
16,-0.028434972055171426
17,-0.0269252919303149
18,-0.03622984150695763
19,-0.016920836073363588
20,-0.020055538539036633
21,-0.03926715337117004
22,-0.03886922338471288
23,-0.06764590919297342
24,-0.07019528687724352
25,-0.058010735603961305
26,-0.07597221819865874
27,-0.09885010887305867
28,-0.08240429555198248
29,-0.09499816132217642
30,-0.10831563904731989
31,-0.09888442346352821
32,-0.05369986845257668
33,-0.0472348414948387
34,-0.05906425431450413
35,-0.07237022677483906
36,-0.058314924175876026
37,-0.06618060987520602
38,-0.044106712344196275
39,-0.039871382923280074
40,-0.04672317601883713
41,-0.04384600159031127
42,-0.036426204338464885
43,-0.026457712843171
44,-0.0322227007944943
45,-0.030164358029230676
46,-0.026602777087013973
47,0.0
48,0.0
49,0.0
50,-0.008462091012781392
51,0.0
52,0.0
53,-0.0004148870667139981
54,-0.0019825394671846297
55,0.0
56,0.0
57,-0.007766701052773661
58,0.0
59,-0.004836307063758261
60,-0.026175627288661518
61,-0.026788858607766253
62,-0.03333583819740138
63,-0.03056857630738763
64,-0.03528957378009001
65,-0.021796368608382077
66,-0.005667954478146164
67,-0.01370519218503996
68,-0.030685126541703966
69,-0.020476950573393826
70,-0.018630211699078192
71,-0.00537473918237763
72,-0.013335305946370335
73,-0.004683142177339117
74,0.0
75,-0.018141216455079268
76,-0.026095933508130664
77,-0.01574762447080047
78,-0.016116222595561225
79,-0.04064823558322217
80,-0.04025539291351932
81,-0.024588270478252405
82,-0.018994624575995434
83,-0.023316601646927726
84,-0.03173020194861231
85,-0.02350587103555868
86,-0.051576477733360715
87,-0.054917282672415246
88,-0.0700058031840397
89,-0.05324667510302372
90,-0.02321861394055036
91,-0.029089472606470768
92,-0.028179640196559164
93,-0.03011831552011246
94,-0.016766624613995473
95,-0.009038914226209394
96,-0.0031430409763844036
97,0.0
98,0.0
99,-0.003176715950679254
100,-0.004134973474307246
101,0.0
102,0.0
103,-0.015362783198485053
104,-0.007857081858017478
105,-0.03734918379451879
106,-0.032711488318849735
107,-0.06314259816762624
108,-0.0594473417794229
109,-0.047474047902137495
110,-0.014027909938430172
111,-0.01730699818137449
112,-0.01887287059593501
113,-0.01760332140850518
114,-0.0013354828427001308
115,0.0
116,-0.007995967265227777
117,0.0
118,-0.007849261163881183
119,-0.023521963229025222
120,-0.002047588216277041
121,-0.015547789392418743
122,0.0
123,0.0
