t,drawdown
0,-0.007374320689486846
1,0.0
2,-0.00916145677695368
3,-0.022485700081999682
4,-0.05419430005176684
5,-0.030910112973401627
6,-0.0470085098029186
7,-0.07675417940050044
8,-0.07944854654000699
9,-0.06892618263082584
10,-0.04713567193193313
11,-0.047447657259997666
12,-0.04596746001199903
13,-0.044120321232827275
14,-0.02353887311210079
15,-0.01883850546142407
16,-0.02088540578632303
17,-0.03507984408100895
18,-0.0185506521539488
19,-0.011523714638125071
20,0.0
21,0.0
22,0.0
23,-0.02663356161304753
24,-0.018319750300514137
25,-0.01596087886283748
26,-0.023720611559470695
27,-0.025974030744671528
28,-0.03382154073140631
29,-0.024414118793641082
30,-0.02928432793839253
31,-0.03955768834221818
32,-0.041478538301201184
33,-0.03753502343005566
34,-0.01377004590053943
35,-0.009573093404500854
36,0.0
37,-0.009501305374239766
38,-0.012761841298005061
39,-0.008054182302477897
40,0.0
41,0.0
42,-0.016844683621063616
43,-0.03065565182334895
44,-0.04343660569145402
45,-0.04166823246575757
46,-0.03465678502230707
47,-0.027766816674609562
48,-0.02261191539745344
49,-0.003967806612670599
50,0.0
51,0.0
52,-0.009816258387246424
53,-0.003230106022596213
54,-0.009422438343423045
55,0.0
56,0.0
57,-0.014634344811725208
58,-0.02874495863575599
59,-0.041656797706408066
60,-0.05180290739967164
61,-0.060020033524694316
62,-0.05768563893650236
63,-0.0674220077754556
64,-0.05537502995163035
65,-0.029618004146860222
66,-0.028363665093768198
67,-0.03714142262379905
68,-0.01765469500699912
69,0.0
70,-0.004139070570961634
71,-0.03256737818594502
72,-0.024503553406674983
73,-0.0025802156654077812
74,0.0
75,0.0
76,0.0
77,0.0
78,-0.0039148994228872525
79,0.0
80,0.0
81,0.0
82,-0.010694825805881214
83,-0.013262397297151396
84,-0.013998592245565433
85,-0.01098396995119355
86,-0.013868545185367065
87,-0.02595249616552142
88,-0.03995152442356775
89,-0.023345370644208163
90,-0.02619165727707884
91,-0.03756272851924081
92,-0.0324114222789591
93,-0.04312886578973463
94,-0.03531032198551487
95,-0.05721046998745116
96,-0.09541254258890752
97,-0.08879871446347087
98,-0.10447988758194648
99,-0.10673527573301922
100,-0.11889554690450899
101,-0.12333142732564772
102,-0.12842173472654927
103,-0.11585639413939652
104,-0.13406857769132896
105,-0.1286823038904935
106,-0.12574754315827674
107,-0.1269629653940032
108,-0.13089240524860635
109,-0.1403859119987495
110,-0.165064720371371
111,-0.15016137754476788
112,-0.15931723145539156
113,-0.1381167913393111
114,-0.1529641366947072
115,-0.170378274374697
116,-0.16885342356641664
117,-0.1796547408577842
118,-0.1836478510785583
119,-0.1685613694844681
120,-0.18125372571038112
121,-0.18748718875888626
122,-0.19285825954779223
123,-0.18322782626185263
124,-0.18338618813154095
125,-0.18450141110431817
126,-0.16163666652863629
127,-0.1672080310466867
128,-0.1658799238959543
129,-0.1503359957992918
130,-0.14922927927018825
131,-0.1507570123267581
132,-0.13390922742444078
133,-0.12153595557847452
134,-0.15200707163360183
135,-0.16142176594479862
136,-0.15358281662073603
137,-0.16646144704773258
138,-0.17601546652725175
139,-0.18929447684720702
140,-0.19094665704990865
141,-0.18396974664955967
142,-0.1788870678489598
143,-0.19877090993656077
144,-0.19918174203295658
145,-0.1958746561650042
146,-0.1941083082509366
147,-0.19575167062854015
148,-0.199902629577008
149,-0.20637896967771086
150,-0.19465943895482474
151,-0.2077363804593262
152,-0.21219954822299925
153,-0.21484131604758594
154,-0.21423208327613052
155,-0.2081108817234658
156,-0.2359239982222735
157,-0.20468468170750653
158,-0.23672541181783302
159,-0.2330756095261689
160,-0.2363169019820136
161,-0.24107885247519534
162,-0.2325027319877384
163,-0.23706379463921123
164,-0.23303392011609902
165,-0.2422969252346534
166,-0.22558892551923648
167,-0.20352147639331497
168,-0.19441536199418719
169,-0.1755556517456489
170,-0.174162993997814
171,-0.1823735714861775
172,-0.17909123996260368
173,-0.19997206322575167
174,-0.1998880238874845
175,-0.18812580329837636
176,-0.18639351044727082
177,-0.18511538212578504
178,-0.16669829691471716
179,-0.15392288025083334
180,-0.1600421251780888
181,-0.16202992239717906
182,-0.18350820325244688
183,-0.1750993270689276
184,-0.1843759520130378
185,-0.18155400659085286
186,-0.1930345880242278
187,-0.19550036222346445
188,-0.19265708908512535
189,-0.19507348517465573
190,-0.2031065340598086
191,-0.2148754938924481
192,-0.2062130223894263
193,-0.20385134253531922
194,-0.21424603541436094
195,-0.21253850912524164
196,-0.19336478829184145
197,-0.18481493522549264
198,-0.19105275891054707
199,-0.1944927416235891
200,-0.20050156790558915
201,-0.19140864299438065
202,-0.18524444141196794
203,-0.17040943061635472
204,-0.16198783230021319
205,-0.16915825785679572
206,-0.17834771602856825
207,-0.1755415064732203
208,-0.16434098048848278
209,-0.1597174232157761
210,-0.16100589987871716
211,-0.15808641919985433
212,-0.16262407527588196
213,-0.15084446020392228
214,-0.14625067531718539
215,-0.15164461861549539
216,-0.13517668738658994
217,-0.12349840686796332
218,-0.13669096598982977
219,-0.12288940251288338
220,-0.11831752361401449
221,-0.11777774415710796
222,-0.12296972525808425
223,-0.11351785968472472
224,-0.10185071852107797
225,-0.09470217595440744
226,-0.10631400731961815
227,-0.0846353916497341
228,-0.07570480001628677
229,-0.07359355617374264
230,-0.07799622915206683
231,-0.07182059376404737
232,-0.06053976916412851
233,-0.05278764499870636
234,-0.061384017912484046
235,-0.05065178285470162
236,-0.059207085236739676
237,-0.06117981262852623
238,-0.06392440978485547
239,-0.08825802086590173
240,-0.0988231408100223
241,-0.09514543187557867
242,-0.1010453567091556
243,-0.09417404293177378
244,-0.08569987196668838
245,-0.09574585740411268
246,-0.09026004159960632
247,-0.0850987830684431
248,-0.06881513715301901
249,-0.05877231313299813
250,-0.05684184932250658
251,-0.04748540061028095
252,-0.06380276952606212
253,-0.07425096394677622
254,-0.06619497037482813
255,-0.08556990948819498
256,-0.08035125819910738
257,-0.08852940324611014
258,-0.09212933761175768
259,-0.09707023336581522
260,-0.11583385500768761
261,-0.1171859676594218
262,-0.10621438509131409
263,-0.13224532070767325
264,-0.11149518336840414
265,-0.11297660659952269
266,-0.09179558163700163
267,-0.09187066769858876
268,-0.0868893248693603
269,-0.10435505513618648
270,-0.09317728595557884
271,-0.06945163643008112
272,-0.07515330913459994
273,-0.09832780869203583
274,-0.11255065547384469
275,-0.08824907695513762
276,-0.0795366654342945
277,-0.07838043600057665
278,-0.09943292008335758
279,-0.10054034126124922
280,-0.10636657358759938
281,-0.12393270959397362
282,-0.12575813258461987
283,-0.1113121558993867
284,-0.09880531829580463
285,-0.08069547029661106
286,-0.08648477779684727
287,-0.09594473647318535
288,-0.09439998996589516
289,-0.08272843290090659
290,-0.06890364772685265
291,-0.06884780391433587
292,-0.049288111422824854
293,-0.03727711724962024
294,-0.0317116724969011
295,-0.03832783417435759
296,-0.053958592548908446
297,-0.050328821018666536
298,-0.05868468752195499
299,-0.044545528243621346
300,-0.057369237710557686
301,-0.07355685417120683
302,-0.08425084199782806
303,-0.08588613653493316
304,-0.07648750078815303
305,-0.06278009813828922
306,-0.07130769908324652
307,-0.06827429005160945
308,-0.06787770577993413
309,-0.0838805035438801
310,-0.09246630974070713
311,-0.09988439362363788
312,-0.09749964940602485
313,-0.10232165263684778
314,-0.09449018448641411
315,-0.08421725785177148
316,-0.062312521572186585
317,-0.056045139918100007
318,-0.06662514356781313
319,-0.09461541249574756
320,-0.0968106695506078
321,-0.1048594027078531
322,-0.10652423256220711
323,-0.11433921305402162
324,-0.12185534477184301
325,-0.11718821254968348
326,-0.11999342233998567
327,-0.13789148328425072
328,-0.16481097447699333
329,-0.177261138504762
330,-0.1841959932630689
331,-0.17432540040165567
332,-0.1730413534281101
333,-0.17931939569666944
334,-0.19447820318112918
335,-0.21508622823725387
336,-0.21414443805398842
337,-0.1947721104346294
338,-0.18433328261450155
339,-0.1736693897163042
340,-0.1583683172547462
341,-0.15055087143788448
342,-0.15773464200885912
343,-0.1926851503690109
344,-0.17287005550825485
345,-0.18334011440074072
346,-0.18569037165180102
347,-0.20020940127566234
348,-0.2152161407371217
349,-0.24390999538011304
350,-0.2595223888547883
351,-0.26467327873352964
352,-0.26192634285608807
353,-0.2443076985578877
354,-0.21900600488560784
355,-0.20777150105195963
356,-0.20839886731601487
357,-0.21132027245910356
358,-0.21551263540439403
359,-0.2117634159688342
360,-0.2198573564224291
361,-0.21930169059037619
362,-0.2108388029231819
363,-0.21722208318864467
364,-0.21569460244966054
365,-0.21208227449989314
366,-0.2155940779120138
367,-0.214239663675035
368,-0.20421027449350038
369,-0.18706074883153245
370,-0.1835764530047579
371,-0.1706517454477715
372,-0.1583998631811736
373,-0.1834755014462499
374,-0.18207034556598833
375,-0.1889722101351381
376,-0.1882002567523392
377,-0.18664033989478157
378,-0.16817022058431963
379,-0.1545315163291512
380,-0.14806579170689027
381,-0.13861099002827693
382,-0.14114436941156727
383,-0.1336865817205264
384,-0.12835034878907914
385,-0.12809607202787
386,-0.15504591607056473
387,-0.1731142623122781
388,-0.1689070654162006
389,-0.17348874500484102
390,-0.17439214923657353
