t,drawdown
0,0.0
1,-0.0015523784035808008
2,-4.939279287352605e-06
3,-0.0013453809117713877
4,-0.0053913032980624775
5,-0.006716587709214128
6,-0.00611022200213529
7,-0.007974138443217482
8,-0.00959812476916233
9,-0.010642066802284633
10,-0.01227383179669983
11,-0.01428344539496229
12,-0.017955570782666075
13,-0.017318000016685264
14,-0.019358407932005495
15,-0.01853419582265714
16,-0.021473181580588863
17,-0.022299262281321175
18,-0.02293450965253163
19,-0.018702799688046556
20,-0.017772421244154124
21,-0.01776562373240531
22,-0.01901817052303323
23,-0.018605640817189073
24,-0.019317569750549657
25,-0.019029058890334793
26,-0.020527637285202682
27,-0.01913141994347678
28,-0.01491286039605777
29,-0.01568348104432782
30,-0.014831835645288005
31,-0.015208563963188926
32,-0.01594555778761997
33,-0.018310110200260188
34,-0.01636571100917894
35,-0.015567822225535988
36,-0.016881757842689415
37,-0.01299203718329256
38,-0.015383730430193143
39,-0.01370225307548456
40,-0.01154888115026187
41,-0.012384452772505883
42,-0.006383499684300409
43,-0.0055627897695167405
44,-0.005271168281325567
45,-0.005422600066813055
46,-0.007339746831869665
47,-0.010982102149499573
48,-0.011464527549005288
49,-0.008778967923944614
50,-0.011197263087726728
51,-0.007865026219354032
52,-0.008229011917238127
53,-0.006080879093882219
54,-0.00376828822967723
55,-0.005432626713385624
56,-0.0021822456348763453
57,-0.0027247307207848293
58,-0.003492665100914394
59,-0.005444763946020115
60,-0.00624761580067279
61,-0.012102354510178381
62,-0.009966217753709095
63,-0.006624491447007497
64,-0.008208082230503844
65,-0.005223749660498211
66,-0.003050110614300716
67,-0.004866508830599581
68,-0.001878399410691678
69,-0.0018605534957539804
70,-0.003061107056695156
71,-0.0001536113910552972
72,-6.906273635365334e-05
73,-0.0010694120973795407
74,0.0
75,-0.00045128132833915924
76,0.0
77,0.0
78,0.0
79,-0.0017523676302590996
80,-0.005259171071216984
81,-0.005865744728709599
82,-0.005498974832402359
83,-0.002869644264897331
84,0.0
85,-0.00017677955620110097
86,-0.002287668014518962
87,-0.0028416514441288454
88,-0.0011316084657051473
89,-0.0008943947875347247
90,-0.0012309175133412564
91,-0.0016647614084269735
92,-0.002250507035224447
93,-0.0017499848432978027
94,0.0
95,0.0
96,0.0
97,-0.0009453888845620817
98,-0.0034711445007558073
99,-0.0035853018818101656
100,-0.005090378196110912
101,-0.0030286931663414673
102,-0.002313555184868421
103,-0.00017155516433231544
104,-0.0007433826870010263
105,-0.0006381659855274613
106,0.0
107,-0.00184706612285368
108,-0.002863356869057032
109,-0.0022631928370844268
110,-0.003129103647736997
111,-0.004099610699571654
112,-0.002687882578484513
113,-0.002718284695323203
114,-0.0023680046666481047
115,-0.0010335988453897826
116,-0.0038777965365021094
117,-0.004199991493579747
118,-0.005906452282583796
119,-0.006278991427209446
120,-0.00799243304032049
121,-0.007243560435118757
122,-0.0074264638919169235
123,-0.008612553477469365
124,-0.004615251353313865
125,-0.00466802698997093
126,-0.008441519923317986
127,-0.007598373271649472
128,-0.006801714369251255
129,-0.007382748957921015
130,-0.006559971934543052
131,-0.006516759660119775
132,-0.005288385470071044
133,-0.011023047138720043
134,-0.014064698061460601
135,-0.00920617104913124
136,-0.011920682776836777
137,-0.00970412037541779
138,-0.01166232140019996
139,-0.007836780041661107
140,-0.01041803884906456
141,-0.010857697431333468
142,-0.011521964389807127
143,-0.01286169990670838
144,-0.016464157334997953
145,-0.017856996827359306
146,-0.014903759081915102
147,-0.018293803526688412
148,-0.019690357072176923
149,-0.01953953479191317
150,-0.02309472835579751
151,-0.020250579130591362
152,-0.019891164138182704
153,-0.02516914354135824
154,-0.027822518132186502
155,-0.03169617858087892
156,-0.03188640971709966
157,-0.03233921839515652
158,-0.03577489754635865
159,-0.038077079071369146
160,-0.04145985427620957
161,-0.041631194222487955
162,-0.04102839993831109
163,-0.04317946998186328
164,-0.043059581476941555
165,-0.044512536440113326
166,-0.04428762678055298
167,-0.04477337582889196
168,-0.04404566419352496
169,-0.04576975538107375
170,-0.04300086398200642
171,-0.04346576448667161
172,-0.04260068678344919
173,-0.04237520120071614
174,-0.04673959582957188
175,-0.04785694855504996
176,-0.049728836667292
177,-0.05139378612654266
178,-0.05009656200039192
179,-0.055320585624512475
180,-0.05555073891706974
181,-0.05573805147070465
182,-0.05680750089145481
183,-0.058805507407594826
184,-0.06036005339365458
185,-0.05958236703316022
186,-0.06184442373339827
187,-0.0645663365104081
188,-0.06094438745879338
189,-0.0635224838062074
190,-0.06552106963665005
191,-0.06431998535839856
192,-0.06653001661362201
193,-0.06809485481405286
194,-0.06828769556599901
195,-0.06737190149062922
196,-0.06502695037847628
197,-0.06796344219743755
198,-0.06833195569404915
199,-0.06831294487652784
200,-0.06848607614565383
201,-0.06836853430764844
202,-0.06624781173023586
203,-0.06741245733723411
204,-0.0665342427551221
205,-0.06611840182691553
206,-0.061664623219078285
207,-0.06123078332411924
208,-0.06142105621249205
