t,drawdown
0,0.0
1,-0.024840542531584076
2,-0.029352351805052135
3,-0.03865817886900702
4,-0.038363443963182475
5,-0.04011498862608587
6,-0.016381972853019233
7,-0.021522953285192492
8,-0.023657094646853283
9,-0.0533040190065075
10,-0.05451911433379697
11,-0.04541887968075131
12,-0.06222002004657545
13,-0.08026413264732601
14,-0.0782486274127191
15,-0.0934673702390908
16,-0.10125281939301978
17,-0.10526449864448062
18,-0.10495473042000869
19,-0.10927361687928727
20,-0.10966003716665673
21,-0.1344451836984396
22,-0.11936454477811453
23,-0.10684662224866548
24,-0.1191337588313085
25,-0.10332356197703318
26,-0.11225624103156528
27,-0.11578232145032519
28,-0.12982915072720047
29,-0.13888028541674924
30,-0.13809907360129758
31,-0.13296542766658015
32,-0.12786083852934493
33,-0.11985674138803948
34,-0.13519242019446465
35,-0.1343242777124921
36,-0.1362640161125369
37,-0.12321895621165257
38,-0.11313283126514817
39,-0.12957629145125504
40,-0.09630062055250388
41,-0.08191286714315893
42,-0.11370259629648194
43,-0.11075257143194428
44,-0.11578309818730603
45,-0.13090406975207036
46,-0.14582321076775506
47,-0.13907442297287742
48,-0.14271368246860394
49,-0.13816305490605763
50,-0.1342453891731369
51,-0.12478322785667717
52,-0.13248661481132795
53,-0.1416158329967221
54,-0.15620936642852667
55,-0.15788412736174262
56,-0.13849432454728883
57,-0.1373020189401991
58,-0.13006676822163077
59,-0.13474845947940728
60,-0.12848031856524733
61,-0.13939529344493085
62,-0.13756836862845745
63,-0.14282690407119236
64,-0.14133641882783432
65,-0.14121274148662055
66,-0.13627808072632586
67,-0.15630750580051833
68,-0.16265148765758786
69,-0.14362025576329862
70,-0.1471020365657454
71,-0.14853483632731845
72,-0.14868758513342106
73,-0.1533731206880451
74,-0.17181220682996046
75,-0.1672773486281136
76,-0.16797837057175358
77,-0.16099165742370425
78,-0.1673447045980263
79,-0.1390427777392974
80,-0.14294752319510828
81,-0.1436192081662978
82,-0.12951120431374163
83,-0.10662031551913098
84,-0.10190624649562952
85,-0.09980762668564869
86,-0.09142173545035648
87,-0.08813927267391919
88,-0.09080216540760411
89,-0.0911219273083892
90,-0.0887809664509781
91,-0.08593761668823496
92,-0.07591708670614394
93,-0.07160559119712628
94,-0.05702860076666216
95,-0.0747229359659749
96,-0.06376548209110366
97,-0.06553777379369219
98,-0.06114184064294548
99,-0.07228913762102251
100,-0.06756614727147003
101,-0.06831532544366259
102,-0.05272531080561327
103,-0.04398103247191831
104,-0.057324488929836104
105,-0.07823151028870468
106,-0.08004484399029077
107,-0.07571242340386097
108,-0.06059519663470847
109,-0.03363396011446307
110,-0.023408411653149885
111,-0.018979310242992486
112,0.0
113,0.0
114,-0.0014313892370235726
115,-0.002957185479282809
116,-0.0071722066573296495
117,-0.009552732622962634
118,0.0
119,-0.03497479147067073
120,-0.02288816079710343
121,-0.030384312769203503
122,-0.02765863668710966
123,-0.0305138741399551
124,-0.030986521649425836
125,-0.04675906917196315
126,-0.03751686683520472
127,-0.04997377508727674
128,-0.04262046258735075
129,-0.034530159164919416
130,-0.04886147280248576
131,-0.03446573590057733
132,-0.03671567299238354
133,-0.038391021980534346
134,-0.023220226374358055
135,-0.007954917322799404
136,-0.008957849690474307
137,0.0
138,0.0
139,-0.0024969919157514786
140,-0.0031259482202176114
141,0.0
142,0.0
143,0.0
144,-0.023795194607256986
145,-0.013934273758375859
146,-0.014250283036279843
147,-0.01197721370328475
148,-0.003654861498204487
149,0.0
150,-0.005661700947793946
151,0.0
152,-0.003075177721430511
153,-0.005245429205113505
154,0.0
155,0.0
156,-0.02172222031678983
157,-0.043647030306394385
158,-0.06811818210235132
159,-0.05835497076584484
160,-0.04477487996951868
161,-0.030608190753071085
162,-0.024551498063308586
163,-0.02106440317011249
164,-0.012414973095004278
165,-0.015341433342635269
166,-0.022131210053308092
167,-0.021782349162767556
168,-0.01214312711249299
169,0.0
170,0.0
171,0.0
172,0.0
173,-0.017352750091421898
174,-0.026273862431844486
175,-0.02745817342399348
176,-0.033526185427326216
177,-0.02938558664776625
178,-0.04929387255786344
179,-0.041089416862814754
180,-0.011501015549432059
