t,drawdown
0,0.0
1,0.0
2,-0.014370944515232575
3,-0.023076386724158793
4,-0.010603674938477914
5,-0.006720579012936101
6,-0.014666265113867927
7,-0.03825043143463325
8,-0.06211742874596926
9,-0.06649145623961017
10,-0.06562720678877554
11,-0.053141265265947646
12,-0.05156196098941912
13,-0.02835468992373158
14,-0.028773989109808884
15,-0.00584748621850828
16,-0.012623646021679868
17,0.0
18,-0.029151176786371025
19,-0.028958903287815474
20,-0.03777613330055385
21,-0.026703556210876278
22,-0.04053138914592991
23,-0.039553269911906996
24,-0.04333394991772721
25,-0.04609075641336269
26,-0.04637932105817866
27,-0.029702925334848418
28,-0.033914176028330356
29,-0.014409124980073407
30,-0.02536604496049122
31,-0.014906629514653713
32,0.0
33,-0.02384966051799864
34,0.0
35,-0.005250430266979134
36,0.0
37,-0.011369804023235952
38,-0.0243628627950625
39,-0.024761485945546946
40,-0.025192518144956377
41,-0.02065193507898777
42,-0.006911246924134695
43,-0.011287003062030565
44,-0.01659516043363829
45,-0.0048654970503558825
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,-0.012898257648061628
56,-0.007617351945979123
57,-0.013691612224787542
58,-0.008246695179856545
59,-0.013458141543095992
60,-0.030582151112654055
61,-0.01257986657427912
62,0.0
63,-0.007874362160916193
64,-0.014440707341525139
65,-0.018260830358612812
66,0.0
67,-0.012113161601889244
68,-0.027209372603647197
69,-0.04086869192842535
70,-0.04243312005927469
71,-0.045248512068742586
72,-0.0587580933445041
73,-0.05439857872125731
74,-0.043645295759852876
75,-0.027414577474434654
76,-0.024919124218210076
77,-0.0243636990381203
78,-0.015178463616605797
79,-0.014341901262223788
80,-0.02063059377622145
81,-0.019147960983325163
82,0.0
83,-0.012913694459697145
84,0.0
85,0.0
86,-0.004085139463570808
87,-0.005744093813310758
88,-0.009471586219544692
89,-0.013505783066364851
90,-0.031942853874444954
91,-0.0497327757162368
92,-0.048595041242697756
93,-0.0412609643806916
94,-0.0071422697261904755
95,-0.008579233029449296
96,0.0
97,-0.010570171319997823
98,-0.01606437595128485
99,-0.024991368430306804
100,-0.009895374419666259
101,-0.02749938471093638
102,-0.011521766909700859
103,0.0
104,-0.00501478306066494
105,-0.03131058114143004
106,-0.06454990475117084
107,-0.07306850969311507
108,-0.05568854598216644
109,-0.0914306510657773
110,-0.1042393385840501
111,-0.08872456276308227
112,-0.08780008331411293
113,-0.09695313351924284
114,-0.10837164399292176
115,-0.07088632187052535
116,-0.08577185421749145
117,-0.08255623817475943
118,-0.09708571008085976
119,-0.09760542921793713
120,-0.09012722088317349
121,-0.09472073758506294
122,-0.11408646520513277
123,-0.09443536598428837
124,-0.1162796801501047
125,-0.09183437998930843
126,-0.09513716731983168
127,-0.14769538601418308
128,-0.1260550840362059
129,-0.12424851271663473
130,-0.08088675364795594
131,-0.09634142460161088
132,-0.09147467202793369
133,-0.08836011034235003
134,-0.09729150608614567
135,-0.11171752078154673
136,-0.11272294236385527
137,-0.11512282739515467
138,-0.08967832062564063
139,-0.08361368150203186
140,-0.07266134238016575
141,-0.08637314773753979
142,-0.07477736569318916
143,-0.06654046627522225
144,-0.09312453834702983
145,-0.09857328981377156
146,-0.09392944105408707
147,-0.1228120182549346
148,-0.1240317220753806
149,-0.10672520736217339
150,-0.10606118408661125
151,-0.12825126318690017
152,-0.11503933734265726
153,-0.10424902386021018
154,-0.10698523653952041
155,-0.11554578958559292
156,-0.1304438837545132
157,-0.1384355922599365
158,-0.15535344545299656
159,-0.181323120247879
160,-0.1725088416537608
161,-0.16508608240515998
162,-0.1750607664577658
163,-0.1560992322989524
164,-0.1336100088913602
165,-0.1347436931146202
166,-0.12958615164712528
167,-0.13434201320880612
168,-0.11529634599170846
169,-0.12184503558624138
170,-0.10774585275708704
171,-0.0898373352587265
172,-0.09762264477992655
173,-0.08446757136948557
174,-0.10817402028180956
175,-0.11217842603355388
176,-0.11983009945173961
177,-0.11949877531308617
178,-0.11195116554771167
179,-0.11942074639647149
180,-0.12521814162698253
181,-0.14927448702138424
182,-0.13918916292188555
183,-0.15641356326066624
184,-0.17774235138462324
185,-0.1775394005796488
186,-0.18214071675600496
187,-0.17584199773338072
188,-0.1945759583582587
189,-0.1970584230388044
190,-0.20646127460242503
191,-0.2049343970849976
192,-0.1947143049327985
193,-0.1695731722639916
194,-0.18966136067706152
195,-0.1941054658892989
196,-0.18853922448262028
197,-0.18166045647697437
198,-0.20588212573418774
199,-0.20742342465707075
200,-0.19784850570368395
201,-0.19360227529590612
202,-0.18109681417484302
203,-0.18998058479552216
204,-0.19167745102396938
205,-0.18891188888376242
206,-0.2004247576511652
207,-0.18179099792130704
208,-0.19685966965517432
209,-0.18083622841302083
210,-0.18975774970277914
211,-0.17468559116327753
212,-0.18028987423760168
213,-0.18265947062758225
214,-0.18662419572023958
215,-0.18877307393068843
216,-0.18292994889827108
217,-0.188817937937947
218,-0.19346680422213902
219,-0.20611540347059554
220,-0.17594504816798084
221,-0.18159972788623635
222,-0.1725255613064074
223,-0.1581879540759975
224,-0.15036957303501364
225,-0.13367336835620824
226,-0.1305256995954418
227,-0.13390074050713596
228,-0.1337228764299545
229,-0.12228070942768454
230,-0.12455760372619518
231,-0.1209189125500667
232,-0.10243884644111834
233,-0.09605742837625852
234,-0.10956251925689386
235,-0.10518533147884068
236,-0.10225890924182124
237,-0.12209375501089736
238,-0.12526107990285051
239,-0.1240351781436374
240,-0.1105119498578312
241,-0.11504860652576032
242,-0.12950702282447513
243,-0.13621259929256646
244,-0.11868054323216581
245,-0.11009019670111986
246,-0.12318255115818977
247,-0.11527237742994123
248,-0.12495075400068234
249,-0.10518381054726689
250,-0.09760368905455352
251,-0.0781193986020634
252,-0.08296011907858458
253,-0.0883234355829029
254,-0.07387603250629371
255,-0.07010022744165234
256,-0.09353644471517808
257,-0.12535009333611824
258,-0.119007374954744
259,-0.1453735818892623
260,-0.14604561371997193
261,-0.13982711429868444
262,-0.126556312014814
263,-0.1310524669841444
264,-0.13053498532376828
265,-0.11582992448940288
266,-0.10478046056233792
267,-0.11327448135823481
268,-0.1055191181438524
269,-0.12093954245821392
270,-0.11275796765161339
271,-0.08662536092695328
272,-0.07578740222831903
273,-0.06851200497579746
274,-0.07501878744202717
275,-0.0793748343951477
276,-0.06653257412475733
277,-0.04451812484766671
278,-0.037340492933093605
279,-0.029608849798566372
280,-0.02239232111558609
281,-0.0248907031241421
282,-0.025784161343599843
283,-0.03991540970739604
284,-0.025004055646333123
285,-0.029087770778189803
286,-0.021977934172291658
287,-0.0005519859000246985
288,0.0
289,-0.009736457004773325
290,-0.037226698402499814
291,-0.041789206592823036
292,-0.022003786324819696
293,-0.0273429112754634
294,-0.04335604765642764
295,-0.013985782731863683
296,-0.0007804175521241019
297,0.0
