t,drawdown
0,0.0
1,-0.011006197519668137
2,-0.013658867098160332
3,0.0
4,0.0
5,-0.028355582768325505
6,-0.001598817592382118
7,-0.002398431951365909
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,-0.003779208151420854
14,0.0
15,0.0
16,0.0
17,-0.005880411461276602
18,-0.02121893828323551
19,-0.020256634024054643
20,-0.016645892875101764
21,-0.02600347572588546
22,-0.029157796293653226
23,-0.014443260773869815
24,-0.029932349900872568
25,-0.021031079754859294
26,-0.0008145901084016804
27,-0.006221731258919672
28,0.0
29,-0.0014639401020581921
30,0.0
31,0.0
32,-0.012521029276249984
33,-0.00714966402355266
34,0.0
35,0.0
36,-0.0031027968521762928
37,0.0
38,0.0
39,0.0
40,0.0
41,-0.006747957960070439
42,-0.013103156021751383
43,-0.002922251820216215
44,0.0
45,-0.0022645864302999197
46,0.0
47,0.0
48,0.0
49,-0.01545915541538434
50,-0.01660490523286917
51,-0.03217791307880413
52,-0.03032829895136191
53,-0.010526402853257788
54,-0.011352920221233798
55,-0.017399374212810792
56,-0.025359810508955194
57,-0.017552872216180293
58,-0.01634148042028727
59,-0.0150904573630537
60,-0.014545545729836129
61,-0.016788069310343823
62,0.0
63,-0.011869582490783182
64,-0.005968632411694541
65,0.0
66,-0.011764530083276159
67,-0.012474906352291426
68,0.0
69,0.0
70,0.0
71,0.0
72,-0.01743086899359425
73,-0.032444893830001154
74,-0.04360691074685219
75,-0.037624588116668134
76,-0.023045318841526274
77,-0.038256731144545086
78,-0.016826917661714513
79,-0.006997211338128695
80,0.0
81,0.0
82,0.0
83,0.0
84,-0.021849747758633353
85,-0.011311585401458157
86,0.0
87,0.0
88,-0.013512421901220928
89,-0.03650073020518374
90,-0.056082586440773685
91,-0.05695083382218746
92,-0.08046088338007051
93,-0.06659679386564377
94,-0.059616989863169545
95,-0.048160981694595706
96,-0.06797050545851546
97,-0.07661057879156274
98,-0.09040479500513143
99,-0.09156751957471265
100,-0.09873958324229426
101,-0.09571849747516614
102,-0.11877583179042894
103,-0.1280570947331685
104,-0.1409607010978794
105,-0.15125845139024852
106,-0.1600038237061675
107,-0.17878628672009866
108,-0.19286363421016406
109,-0.1791581614527782
110,-0.17596638102992412
111,-0.1720624412531374
112,-0.1754579283394604
113,-0.15645758867519066
114,-0.17511683828842517
115,-0.16117365595959798
116,-0.16535145367474358
117,-0.15976940791951522
118,-0.1521308390699906
119,-0.14659335773736293
120,-0.13392954983987215
121,-0.11734789083594921
122,-0.12147947547226479
123,-0.10050515050735909
124,-0.11263902359519296
125,-0.11399936430677116
126,-0.11789735860233952
127,-0.11369419073532416
128,-0.1294057856823797
129,-0.1305167697628442
130,-0.14963986187304157
131,-0.12680761648734462
132,-0.13504144522329797
133,-0.13574518460475193
134,-0.11700799072954071
135,-0.10045130268297509
136,-0.11109562334909218
137,-0.10739104099869201
138,-0.10207784560967414
139,-0.09181592988983545
