t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.01940526443055024
5,-0.017116898538534597
6,-0.018227030038328373
7,-0.01691441289162754
8,-0.009912835974234091
9,-0.018226977341568862
10,0.0
11,-0.006280373288797381
12,0.0
13,0.0
14,0.0
15,0.0
16,-0.0167619709221557
17,-0.006317401398773681
18,0.0
19,0.0
20,0.0
21,-0.0069359496004557375
22,-0.016166837083952168
23,-0.011141241361143694
24,-0.010210914399007232
25,-0.004734808098568188
26,-0.018430160634838266
27,-0.02217416470591349
28,-0.03161501011634016
29,-0.03659342067768878
30,-0.039485486021257676
31,-0.029280070874349473
32,-0.04407321463365421
33,-0.04019186029217625
34,-0.020481830809670587
35,-0.011836251548383636
36,-0.008502678969567357
37,-0.023787138882993775
38,-0.03414600871071538
39,-0.011225252348618486
40,-0.02131545689816927
41,-0.028814500358338546
42,-0.02599777561838479
43,-0.009660589390186658
44,0.0
45,0.0
46,0.0
47,0.0
48,-0.004073085198121884
49,-0.005651427919410201
50,-0.020515360582778808
51,-0.00027091262907208424
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,-0.006359793769916022
59,-0.015299544211013871
60,0.0
61,-0.027173118936146157
62,-0.032569201742069454
63,-0.021927746896996392
64,-0.025945163325673648
65,-0.027343101129428504
66,-0.0104389265326158
67,0.0
68,-0.0043452674406401215
69,0.0
70,-0.013826487994935355
71,0.0
72,-0.008088275526456079
73,-0.02529528729248942
74,-0.011913002914114457
75,-0.01961369661444734
76,-0.01724131913248028
77,-0.022071722548222095
78,-0.02625268273752135
79,-0.02104664793633826
80,-0.030224304414343983
81,-0.052770412897788166
82,-0.03411477769110438
83,-0.024682224647774254
84,-0.02188363367926449
85,-0.01680359282938948
86,-0.0031382148024852174
87,-0.004190164988549072
88,-0.007563649919849591
89,0.0
90,0.0
91,0.0
92,0.0
93,-0.006677667528666054
94,-0.009173107551695536
95,-0.04398657141578233
96,-0.046760007500916134
97,-0.04797796378157382
98,-0.04559213284107633
99,-0.04452722933277775
100,-0.02583424806415402
101,-0.009025755659575863
102,-0.007196603890906261
103,-0.02806806535412354
104,-0.026793450877451663
105,-0.030726871885742746
106,-0.03076877099383446
107,-0.03455343970987956
108,-0.006072344083449366
109,-0.0007142663435335539
110,0.0
111,-0.003740897729804682
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,-0.02254824552428858
120,-0.023784235601915338
121,-0.027146080895853797
122,-0.039726201981029274
123,-0.03943073136686892
124,-0.024926616597901075
125,-0.008636598022625841
126,-0.0028024879071754105
127,-0.010815023174621907
128,-0.026581701566904314
129,-0.036013762579906516
130,-0.011859547383842317
131,0.0
132,0.0
133,-0.009014776796613333
134,-0.012297621619249743
135,0.0
136,-0.0007333552549873001
137,0.0
138,0.0
139,-0.0030728831060815587
140,-0.011420069345215889
141,-0.02500426389145849
142,-0.029620204570145803
143,-0.04230520139350502
144,-0.041082147533445745
145,-0.013047474361161604
146,-0.026918875168293277
147,-0.05228865587058429
148,-0.05855332232764643
149,-0.04547509814221873
150,-0.04130900261153314
151,-0.025420344819082508
152,-0.03657632188308724
153,-0.02216045792031307
154,-0.015056506374315104
155,-0.025085973945690787
156,0.0
157,-0.0021345114405135757
158,-0.0035449202001029967
159,-0.04009734979061985
160,-0.02672074730017937
161,0.0
162,-0.027155428903786194
163,-0.017313303423972748
164,-0.006135908338708029
165,-0.013697372869770796
166,-0.023716172970678295
167,-0.032958683140145495
168,-0.008780322472531021
169,-0.021231143520498486
170,-0.027032586727298136
171,-0.015440276361764704
172,-0.01949730726135368
173,0.0
174,-0.011238781853729285
175,-0.013066579842718085
176,-0.016725281307945927
177,-0.03531731155859774
178,-0.01857256049840006
179,0.0
180,0.0
181,-0.02023072184054797
182,-0.023908806887139034
183,-0.02608129755702171
184,-0.013835844987056811
185,0.0
186,-0.005783487532242337
187,-0.005230856360343816
188,-0.01443187511173527
189,-0.0004305904106696179
190,0.0
191,-0.025226075823571614
192,-0.04601169530962734
193,-0.04952929759435931
194,-0.03539334682786244
195,-0.03811203390113471
196,-0.046210071459210855
197,-0.047558612630039354
198,-0.05502076831565561
199,-0.04306955127351675
200,-0.020094905884011527
201,-0.008071012181214532
202,-0.010792853541217395
203,-0.012778701845272189
204,-0.004116754341624174
205,-0.02198007086986209
206,-0.013503990602345417
207,0.0
208,-0.0036908727553986997
209,-0.0028520760045636084
210,0.0
211,0.0
212,-0.0154672378251004
213,-0.010413689793379755
214,-0.0015589537844580281
215,-0.0026956835113354227
216,-0.007365959140091416
217,-0.012272467800374831
218,-0.006715259670460383
219,0.0
220,-0.003633171289859849
221,-0.004701584938967329
222,-0.0014897578280060886
223,-0.007273976455170139
224,-0.0032433053124641953
225,-0.008262882646461689
226,-0.018668814854230886
227,-0.04191867176777109
228,-0.03628737270727167
229,-0.03809159104449622
230,-0.04241165573315253
231,-0.03599265683026209
232,-0.017835030392774565
233,-0.034552695539925016
234,-0.04196132889766058
235,-0.04901960588590226
236,-0.03135659451238437
237,-0.04064596547775556
238,-0.02445031732439884
239,-0.029637347334683817
240,-0.01792893960884523
241,-0.019985413847107947
242,-0.03542651646674322
243,-0.02863847535502506
244,-0.03846839656290302
245,-0.05318084460237149
246,-0.04130195397393743
247,-0.03782798178487845
248,-0.024835680567164453
249,-0.02565961744253542
250,-0.017424460566627276
251,-0.0057172413923956
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,-0.00791427392852695
259,-0.0038152696285069787
260,-0.001896231214334132
261,-0.009915749412198638
262,-0.02197703029531395
263,-0.02905624798552975
264,-0.019901891345295075
265,-0.018542690171971965
266,-0.012350506561916164
267,0.0
268,-0.002267165745164057
269,-0.000730693575291097
270,-0.01332117160973778
271,-0.04231863436614147
272,-0.07088018261459439
273,-0.07151830107608614
274,-0.06445616773390794
275,-0.06148810129981286
276,-0.06100284319741489
277,-0.059962727450264985
278,-0.048208113259171737
279,-0.037459048377408544
280,-0.04945893964747572
281,-0.06739897380808058
282,-0.07541114985719777
283,-0.1025038435346961
284,-0.10106218563843428
285,-0.08512414401181978
286,-0.09871067614233675
287,-0.11729160773579816
288,-0.09932250368689166
289,-0.1185902562493184
290,-0.11093874362629563
291,-0.11086696031073029
292,-0.11216600768814733
293,-0.10854102757224526
294,-0.11603994910435
295,-0.12370386833019298
296,-0.10789468088638876
297,-0.07794756914355583
298,-0.06583229752518915
299,-0.08730412384348607
300,-0.06698782654222257
301,-0.052266557789368284
302,-0.04358247357760903
303,-0.043280316484242354
304,-0.04979407081586473
305,-0.041407890069569575
306,-0.06383474919046705
307,-0.0645107848279175
308,-0.06113804569900594
309,-0.055644687672480875
310,-0.0720642074936495
311,-0.07285757457526565
312,-0.0435226559374392
313,-0.04587684476684861
314,-0.07856466046460997
