t,drawdown
0,0.0
1,-0.006847997113638593
2,0.0
3,-0.012834260950780219
4,-0.006622198365691223
5,0.0
6,-0.01787801369633779
7,-0.010949213567316929
8,-0.008272178502530037
9,0.0
10,-0.016630196220784765
11,0.0
12,-0.011468830477490921
13,-0.02622066675797441
14,-0.02520515652128119
15,-0.01033917853333255
16,0.0
17,-0.006913031902240352
18,0.0
19,-0.017881988942023197
20,-0.02230534969718123
21,-0.01934227797146626
22,-0.0496935994402804
23,-0.026889458373997144
24,-0.038537009766593244
25,-0.06436233232243194
26,-0.07995360953158326
27,-0.07761168299029586
28,-0.06283891515792728
29,-0.06860036711050532
30,-0.0967744900618921
31,-0.08468565037164721
32,-0.0793633033207124
33,-0.061875946193389986
34,-0.08717548369614303
35,-0.07391402593492824
36,-0.0804288544528754
37,-0.07231456652169066
38,-0.07388256663397841
39,-0.045012973565762504
40,-0.04273189996338622
41,-0.05481146166547235
42,-0.04378704438818437
43,-0.04971555652495285
44,-0.044638982029768126
45,-0.032091901990947136
46,-0.01227275017208418
47,-0.0035513005176486256
48,-0.007011510413900468
49,-0.015760583315413523
50,-0.004224029315011535
51,0.0
52,-0.00864770453197461
53,-0.016635991911932657
54,0.0
55,-0.0026926389637922377
56,-0.021053438998831386
57,-0.03334513381452375
58,-0.001974776117356858
59,-0.02365845894333829
60,-0.017275334518637386
61,-0.016373511029114995
62,-0.021084803719784828
63,-0.006314267095663406
64,0.0
65,-0.022287353509221175
66,-0.01477439294920213
67,-0.04151214709767037
68,-0.030633129768300127
69,-0.03123890902729165
70,-0.037875033278164105
71,-0.017904543853847765
72,-0.019611634888592078
73,-0.0026820314511025733
74,0.0
75,-0.019178656312671905
76,-0.033076736670306306
77,-0.014750676246059413
78,-0.023096234162172435
79,-0.031770096294072125
80,-0.03992209330330687
81,-0.04866609501913455
82,-0.036829771663297706
83,-0.021934300908814652
84,-0.0045637033105893066
85,0.0
86,-0.009621621794384971
87,-0.008651600008724336
88,0.0
89,0.0
90,-0.010614568353080833
91,-0.03139044637219601
92,-0.046011824184391426
93,-0.05454271704692415
94,-0.05057882629147581
95,-0.04375351150906004
96,-0.016151872369593367
97,-0.013550019617663556
98,-0.005504325334926619
99,-0.004088422993325791
100,-0.005565230548967848
101,-0.005031174205088251
102,0.0
103,0.0
104,-0.0020929716051532044
105,0.0
106,0.0
107,0.0
108,0.0
109,-0.003770836995604321
110,0.0
111,0.0
112,-0.021793201313640154
113,-0.0039419879866244845
114,-0.009554108631595226
115,-0.01757585414616203
116,-0.005618829621558241
117,0.0
118,0.0
119,-0.0008109737713811738
120,0.0
121,-0.002994144751277128
122,0.0
123,0.0
124,0.0
125,-0.0037225131775158182
126,-0.015336796025910426
127,-0.01740813217369963
128,-0.01725860259566514
129,-0.019689940565820185
130,-0.01094044916229775
131,-0.006329443641199584
132,0.0
133,0.0
134,-0.005537818962062735
135,0.0
136,-0.01704152518758717
137,-0.01802153473272139
138,-0.011562076567231738
139,-0.024903278263044393
140,-0.006603714308282549
141,0.0
142,-0.01835015858110922
143,-0.01234191859822975
144,0.0
145,0.0
146,0.0
147,-0.00964623827312594
148,-0.007706148096050192
149,-0.011764789541392595
150,0.0
151,0.0
152,-0.0329699554059667
153,-0.0402838047620252
154,-0.03563534239479327
155,-0.03096654057920989
156,-0.016922296958802985
157,-0.0037664938824223393
158,-0.026377344131994218
159,-0.023412822457130167
160,-0.018947346159500333
161,-0.025952107967865956
162,-0.05147062031506611
163,-0.036053162936476646
164,-0.03760034145585689
165,-0.014962361952030268
166,-0.03372434888688414
167,-0.006627101556151094
168,-0.0035924851977026107
169,-0.00963104366893952
170,0.0
171,-0.0026292730032290157
172,0.0
173,0.0
174,0.0
175,0.0
176,-0.005279268826103634
177,-0.019074217156599627
178,-0.009633733261709132
179,-0.03842894200531799
180,-0.04700135241887271
181,-0.052053491510235195
182,-0.033645325021765426
183,-0.020844095934445694
184,-0.03832328387159001
185,-0.04330174144632648
186,-0.023205503983033893
187,-0.03228838968923431
188,-0.025197029617030964
189,-0.04789280049730915
190,-0.04402714547642195
191,-0.017913046987925174
192,-0.005969145137310949
193,0.0
194,0.0
195,-0.01188838824003624
196,-0.00930517700264566
197,-0.01966066238295172
198,-0.023844980065174215
199,-0.026314780882018884
200,-0.02341909416942345
201,-0.02011556870684661
202,-0.03536884359859582
203,-0.0412935660287026
204,-0.03801676710077784
205,-0.020522464325968492
206,-0.03365840304595913
207,-0.0776254718266366
208,-0.08842207874140218
209,-0.1038056577377946
210,-0.08048970475077366
211,-0.08558281863185258
212,-0.07769462404883065
213,-0.10807714554583137
214,-0.10713754956094501
215,-0.10677813474362086
216,-0.09272763456018718
217,-0.0927779327947017
218,-0.08293349021249541
219,-0.09179964828577258
220,-0.08909840705327199
221,-0.08453146668794498
222,-0.0898629764445622
223,-0.11681198161695727
224,-0.10822577368925468
225,-0.07577497588107873
226,-0.07411536235076455
227,-0.07741791490195249
228,-0.07507681278805056
229,-0.07335077000590606
230,-0.06775048766699354
231,-0.07109341244256329
232,-0.07797996728213186
233,-0.0874278466239552
234,-0.0830096384130039
235,-0.07391339958408905
236,-0.08015627293625127
237,-0.09164426461514841
238,-0.0787719055218914
239,-0.07319235647835332
240,-0.06738456743641896
241,-0.05796505951092035
242,-0.03661623215200138
243,-0.059512742092645454
244,-0.030171948036027962
245,-0.012083924309618688
246,-0.012768221771064736
247,-0.017986264717217315
248,-0.018236728134799374
249,-0.022677725635173895
250,-0.03807982601636151
251,-0.03625837140732657
252,-0.03381879312966474
253,-0.04856485822916212
254,-0.05569821223892879
255,-0.049089197452478306
256,-0.024115035855660105
257,-0.03054238096051254
258,-0.0015540246340540742
259,-0.0021813715663839828
260,-0.001313362493294501
261,0.0
262,0.0
263,-0.005739798338011415
264,-0.020884788201322557
265,-0.031338890324166035
266,-0.01780397780198395
267,-0.020875066651703245
268,0.0
269,0.0
270,-0.013777339035868197
271,-0.018834619799447117
272,-0.036627921400625985
273,-0.023543226727395727
274,-0.045858121571317745
275,-0.071472017967809
276,-0.08242354812676467
277,-0.10347953102999807
278,-0.09419196845853295
279,-0.10487800523418411
280,-0.10961948399907329
281,-0.09214346231715409
282,-0.10092805411920791
283,-0.09793649718165987
284,-0.08535245985273887
285,-0.08519519732548442
286,-0.07302389046261248
287,-0.06858471139805611
288,-0.05030804736129413
289,-0.023960286597759728
290,-0.037302811876633424
291,-0.047832175473550564
292,-0.046209951319385545
293,-0.03299854395896096
294,-0.031135240909925033
295,-0.0289408182550297
296,-0.023140515760812774
297,-0.016857470337224623
298,-0.02183868045048598
299,-0.0010975685226725096
300,-0.009666092934514037
301,0.0
302,0.0
303,0.0
304,0.0
305,-0.005650449808428881
306,-0.008416677727837274
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,-0.00025422230403759905
314,-0.01467297559904257
315,-0.017106332786813172
316,0.0
317,-0.00784818212350158
318,0.0
319,-0.00846206976529651
320,0.0
321,0.0
322,-0.004904652213161165
323,-0.027730570919733966
324,-0.008996510038648098
325,-0.002088705074188235
326,-0.0026974992675941056
327,-0.014104199005108509
328,-0.008447766784066335
329,-0.027450223852503286
330,-0.04789880958115866
331,-0.04928481353063918
332,-0.06905915871168988
333,-0.08288529184108973
334,-0.0996804861362447
335,-0.0964131110331834
336,-0.0875772835455998
337,-0.08704142952055571
338,-0.08453891993642237
339,-0.06604011680082811
340,-0.06445677760888258
341,-0.05742068856140048
342,-0.08304135543168589
343,-0.06519294644691531
344,-0.09267849367000713
345,-0.08184992367046606
346,-0.08450174400440491
347,-0.07656298313128274
348,-0.08135436006936125
349,-0.09791939769272928
350,-0.1154394609056042
351,-0.1221619481649846
352,-0.1283090378779933
353,-0.12412864488839193
354,-0.11359238781156533
355,-0.11536851859459518
356,-0.09933300787021127
357,-0.11818021215338492
358,-0.11553304658546004
359,-0.11876179838594758
360,-0.08729319183161577
361,-0.07699767431136728
362,-0.09081010635611564
363,-0.09822875863284841
364,-0.10223564246706074
365,-0.1128143262619018
366,-0.11408574479561562
367,-0.10934226818811943
368,-0.09767212233398836
369,-0.09651165640971093
370,-0.09266717347565023
371,-0.08841123330493539
372,-0.11008686997192096
373,-0.12207614826331381
374,-0.13180705306976015
375,-0.14039326250244077
376,-0.1466548089810531
377,-0.15574468206186998
378,-0.15634562889440595
379,-0.1387532628874104
380,-0.11919496554157494
381,-0.13139237384370817
382,-0.14038709823201911
383,-0.1325980349458542
384,-0.10565665078882547
385,-0.11462209097471587
386,-0.13671475585180315
387,-0.1378151039839406
388,-0.1457577951254201
389,-0.15069902790801815
390,-0.14723890779898696
391,-0.13069194115930738
392,-0.1279138186348524
393,-0.15379458430526516
394,-0.1525475981329436
395,-0.17339129243815632
396,-0.162895852984548
397,-0.1539555435936355
398,-0.14411437760489643
399,-0.13168237821782003
400,-0.1325220321130388
401,-0.13749769823801572
402,-0.13576254854576142
403,-0.12753991152956412
404,-0.09577253192103896
405,-0.06995574203876254
406,-0.08641056535237857
407,-0.10574430460119122
408,-0.11608817075759148
409,-0.12193362921006146
410,-0.14219116170674428
411,-0.1507824933037094
412,-0.13987525248864885
413,-0.14579361962881565
414,-0.1435216125382981
415,-0.14447109277755332
416,-0.12467485114158883
417,-0.13797751344597053
418,-0.13358717498247175
419,-0.12261124564939208
420,-0.14094358787272465
421,-0.16145377333497335
422,-0.15507322722845163
423,-0.1259364370926216
424,-0.12416609480617291
425,-0.10369454686551638
426,-0.09728801006552379
427,-0.09557901808185587
428,-0.07495224275244028
429,-0.07743723163859006
430,-0.072219599518487
431,-0.09292250467326046
432,-0.10336994937253208
433,-0.12090590253486799
434,-0.136744277384948
435,-0.1481426687529681
436,-0.14308227492283154
437,-0.12819127707647116
438,-0.09348197362663568
439,-0.08604541342525229
440,-0.0913035012968143
441,-0.08913073769352775
442,-0.0737404976755297
443,-0.07170488691293841
444,-0.07504185030431298
445,-0.07557197529095538
446,-0.08442048273155012
447,-0.07923987455088555
448,-0.058325520987721924
449,-0.055644715935008526
450,-0.07798302082184894
451,-0.08865886901374764
452,-0.08007094160682637
453,-0.07100145720260786
454,-0.05647585704457814
455,-0.08053399519810112
456,-0.07113702609842854
457,-0.056428734050622764
458,-0.050329167078540404
459,-0.046995545917759896
460,-0.04225409561069027
461,-0.06317560716732562
462,-0.05182299287244241
463,-0.062383745987507955
464,-0.04854559033579997
465,-0.06758437585769894
466,-0.06946744002507821
467,-0.06980243665079433
468,-0.0762916192399512
469,-0.07582450402760055
470,-0.09249969612585751
471,-0.08887229690250587
472,-0.0733229718504318
473,-0.05997657813983015
474,-0.03259305443572302
475,-0.0543099638562089
476,-0.07379111208150146
477,-0.0826639216849343
478,-0.06906859349412786
479,-0.07510981482219059
480,-0.07629388980933172
481,-0.07332818880116954
482,-0.05947311990019366
483,-0.05006669661468144
484,-0.018587814488068344
485,-0.03317271392381882
486,-0.01656144440409879
487,-0.004547732014681283
488,-0.009955286366941318
489,-0.015822362591459527
490,-0.0344417837060782
491,-0.0248707291789646
492,-0.01985361309459377
493,-0.04143796097051333
494,-0.03950066877016478
495,-0.02851744789538979
496,-0.041810475185165896
497,-0.04267856652473345
498,-0.05819586165999513
499,-0.040547812882920975
500,-0.05059297983202604
501,-0.05366738819203998
502,-0.05474528531261025
503,-0.050726621781481795
504,-0.037676922001930735
505,-0.039359889922108815
506,-0.01737413861122894
507,-0.021194058455400344
508,-0.02381950640271624
509,-0.037196745905904605
510,-0.006969380499232125
511,-0.006959707911006308
512,0.0
513,0.0
514,0.0
515,-0.005119065135599121
516,-0.02684178729035147
517,-0.03358716793978456
518,-0.0221759515067107
519,-0.02454980962646569
520,-0.03849467212130864
521,-0.025495229423171173
522,-0.006700770030833025
523,0.0
524,-0.015996354514416167
525,-0.02350048721659148
526,-0.012680128851978778
527,0.0
528,-0.010501780584388776
529,-0.023098955455127856
530,-0.024211211094640528
531,-0.002282173679265642
532,0.0
533,0.0
534,0.0
535,0.0
536,-0.002131495859534427
537,0.0
538,-0.0033202977985399285
539,-0.004239776195108846
540,0.0
541,-0.0026736233398466647
542,0.0
543,0.0
544,0.0
545,0.0
546,-0.015530241794375343
547,0.0
548,0.0
549,-0.037181531585415484
550,-0.011688816642446698
551,0.0
552,0.0
553,0.0
554,0.0
555,-0.014512181008963787
556,0.0
557,-0.014025798802521083
558,-0.0022462296336952514
559,0.0
560,0.0
561,0.0
562,0.0
563,-0.012541159466277763
564,-0.0020430612891951805
565,0.0
566,-0.005265733069088396
567,0.0
568,-0.0007559408895839725
569,-0.005204378226825068
570,-0.013395453623996745
571,-0.030053965843754304
572,-0.01440073945689957
573,-0.013025491028773928
574,-0.01205391986369908
575,-0.010670785362589696
576,-0.008562143758170104
577,-0.01970678157403738
578,-0.0037434124524845513
579,0.0
580,0.0
581,-0.012715357830911267
582,0.0
583,0.0
584,0.0
585,0.0
586,-0.0030763694090673033
587,-0.001331279127811169
588,0.0
589,-0.0023782010651072216
590,0.0
591,0.0
592,-0.01678099680727574
593,0.0
594,-0.011687251966730372
595,-0.014003457255690965
596,-0.02359735504940519
597,-0.020117268095729224
598,-0.034106272945581995
599,-0.028073164377708237
600,-0.025408712769144692
601,-0.021720430387121348
602,-0.018699628623977338
603,-0.044003439805379685
604,-0.02006619850569613
605,-0.0319513448675709
606,-0.014321509060242543
