t,drawdown
0,-0.010629790251929006
1,-0.030702405333404514
2,-0.03694131111648724
3,-0.039733303844380896
4,-0.030447644727653378
5,0.0
6,0.0
7,-0.016195854073571603
8,-0.009693020099064364
9,-0.033219143083857094
10,-0.03301046634705729
11,-0.023021501680611234
12,-0.024445649909556
13,-0.01636150238907874
14,-0.01901628440387315
15,-0.018313700153263723
16,-0.019263906839219747
17,-0.019563774451737292
18,-0.01566260511429718
19,0.0
20,-0.010064407620900329
21,-0.009780641812411894
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,-0.014107808726047999
30,-0.015568588715035303
31,-0.01854661011226022
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,-0.00028671884054931596
39,0.0
40,0.0
41,0.0
42,0.0
43,-0.0018441922822977075
44,-0.006036978699956008
45,0.0
46,-0.02656577549779504
47,-0.02193216909809781
48,-0.02339123762688622
49,-0.006673462352059012
50,-0.01098981170690938
51,-0.021208463106916153
52,-0.004742717664931284
53,-0.019708470474928963
54,-0.025306115019430475
55,-0.04321423522816725
56,-0.034180627540884134
57,-0.05414146883060478
58,-0.055010272041492
59,-0.0401121921052322
60,-0.028307085089854467
61,-0.03665175236490403
62,-0.041516291339012024
63,-0.048312118377264346
64,-0.025377441785927157
65,-0.049226951803970964
66,-0.050985004437677284
67,-0.0717864734411322
68,-0.05532375547627755
69,-0.06514883029027163
70,-0.060084415116046674
71,-0.049331635271630314
72,-0.07976629973239102
73,-0.0942936446966447
74,-0.09100130521327476
75,-0.08463136356767265
76,-0.10012105851072806
77,-0.11208904176069245
78,-0.10793176268255034
79,-0.08531624322318088
80,-0.07333741168602681
81,-0.08153282745353474
82,-0.07239515107373773
83,-0.050567368514577105
84,-0.0317870987114075
85,-0.04598573806474848
86,-0.011853366454669723
87,-0.019752448638587494
88,-0.0022384501926629996
89,-0.019502464373410633
90,-0.02174162005619351
91,-0.0023406238092714693
92,0.0
93,0.0
94,-0.022115565940554083
95,-0.03382485159208959
96,-0.028436063352683005
97,-0.009620263775277138
98,-0.029048174646787994
99,-0.0496860271079107
100,-0.029434071566726616
101,-0.03479848501810601
102,-0.06470582575803341
103,-0.06264923302028647
104,-0.052431049821238807
105,-0.05318612961378888
106,-0.059610948155012555
107,-0.03556905253701104
108,-0.026625216952451014
109,-0.02896959654573117
110,-0.05072161419295507
111,-0.06699189942485595
112,-0.08879133283456098
113,-0.1051408636657567
114,-0.09679507698407253
115,-0.09297144699923332
116,-0.09661682630609336
117,-0.10898220874630415
118,-0.10779309457885877
119,-0.09902255439612195
120,-0.0830118608101208
121,-0.10157751485702693
122,-0.07950935760503264
123,-0.08617725040440982
124,-0.05919264243348055
125,-0.06749271544501922
126,-0.05387393773220095
127,-0.03475879845733121
128,-0.0157954613091984
129,-0.03361981028034733
130,-0.034107750528352354
131,-0.008184123700997192
132,0.0
133,-0.003587628846064339
134,0.0
135,0.0
136,-0.008062142389857807
137,-0.010585337554167351
138,-0.0023988612947603016
139,-0.005647964133756345
140,-0.005145115991500915
141,0.0
142,-0.012410062854955606
143,-0.0153070274304965
144,-0.001589975417909839
145,0.0
146,-0.010583864800471798
147,-0.010449150869011548
148,-0.000621042766118518
149,0.0
150,0.0
151,-0.01729881390532506
152,-0.009938995317586574
153,-0.0042350472634209435
154,0.0
155,0.0
156,-0.014505330608026612
157,-0.011478047285420567
158,-0.00809252836195451
159,0.0
160,0.0
161,-0.010867362559400573
162,-0.02413434187547836
163,-0.04778577249289573
164,-0.04627882218344359
165,-0.05628232383107701
166,-0.04442730880279966
167,-0.0553146702544407
168,-0.03569983150978229
169,-0.04294181473703362
170,-0.05151332808303044
171,-0.06445434713093834
172,-0.046427199689885734
173,-0.02211792800884782
174,-0.007984608676741667
175,-0.012201333537720571
176,-0.015659402754791274
177,-0.024386194611802914
178,-0.040546702749593155
179,-0.032826850150046494
180,-0.03889336354856321
181,-0.02834438909993975
182,-0.03928251858764242
183,-0.042430678061600835
184,-0.028359631220565396
185,-0.027930886288675683
186,-0.0184896197760831
187,-0.002629270575964515
188,-0.01624710039460686
189,-0.02201949082176169
190,-0.007515432380690523
191,-0.004914480580650915
192,0.0
193,-0.015780300922656476
194,-0.0030257592500888553
195,-0.009843870466258453
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,-0.011139530472748738
202,-0.007559699742280435
203,-0.014664543314757417
204,0.0
205,0.0
206,0.0
207,0.0
208,-0.020096236794578504
209,-0.03934095955415151
210,-0.026128455599652045
211,-0.01897208886787427
212,-0.007692457892440108
213,-0.015873044309933193
214,-0.0052518455087656735
215,-0.013103864540735533
216,0.0
217,-0.008201533607890443
218,-0.04442440891146493
219,-0.03407304109004239
220,-0.03586610568371784
221,-0.07009897789981745
222,-0.06384177482526932
223,-0.06177191140195992
224,-0.06172125329850464
225,-0.07566558907145227
226,-0.07513642259496844
227,-0.05406863674461704
228,-0.03545191782695123
229,-0.03459573297590879
230,-0.015190019993179926
231,-0.008843328295667474
232,0.0
233,0.0
234,-0.020499577860430884
235,-0.008240880199491984
236,0.0
237,-0.011524813515808696
238,-0.01913344750881807
239,-0.018016600790191406
240,-0.015169974933545216
241,-0.016723190573184055
242,-0.029218389086147822
243,-0.012199130121300805
244,0.0
245,-0.027364384270540443
246,-0.012913905947792959
247,-0.014720373128042752
248,-0.01008668868445084
249,0.0
250,0.0
251,-0.006359141631750886
252,-0.02871174174912472
253,-0.05035982195917388
254,-0.048009381220086356
255,-0.013036644764145122
256,0.0
257,0.0
258,-0.0029508753523513898
259,-0.02231166597883849
260,-0.011984748593511618
261,-0.023697519942622813
262,-0.005139699874846748
263,-0.01028013887457091
264,-0.028137511601378562
265,-0.019348205870281632
266,-0.03193479994001591
267,-0.03568117802624926
268,-0.03570832931110435
269,-0.03931157396521712
270,-0.029838307155137023
271,-0.02233422441344335
272,-0.012793465322164965
273,-0.019105172580552887
274,-0.026768597408592387
275,-0.018365393521927564
276,-0.031092779977296203
277,-0.04094109219281927
278,-0.03745399120325965
279,-0.019288214558501826
280,-0.03369900393447045
281,-0.044503078465143675
282,-0.031419027045647696
283,-0.00744197353581022
284,-0.01700786814983446
285,-0.021494291055080383
286,-0.04380904540603048
287,-0.046678125298002304
288,-0.03634494595423399
289,-0.03627017867374849
290,-0.04986823435204768
291,-0.06401101944284493
292,-0.05645123798543217
293,-0.05336291453971043
294,-0.040346595895600745
295,-0.028306187705117947
296,-0.023926622841645817
297,-0.01720309070989856
298,0.0
299,-0.015821579058055035
300,-0.014514449747442981
301,-0.006346984635658193
302,-0.018504505534386984
303,-0.0076754517199806305
304,-0.03109212419255536
305,-0.0058616224385756865
306,-0.01625601425816947
307,0.0
308,-0.011406098968713363
309,0.0
310,0.0
311,-0.022011646622328795
312,-0.030304732080983943
313,-0.028473212653960966
314,-0.01968665706823336
315,-0.02822195352895518
316,-0.03691363567961525
317,-0.03160393458323585
318,-0.002810800877516284
319,-0.014822001719142497
320,0.0
321,0.0
322,-0.0059144578488778965
323,0.0
324,0.0
325,0.0
326,-0.01791958585696285
327,-0.014476143992047552
328,-0.0023489127624822803
329,-0.010711405585367317
330,-0.02812632749478816
331,-0.04238502136968558
332,-0.03558518907832808
333,-0.019299721729718722
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,-0.017665400058333725
341,-0.019418422185144557
342,-0.01805096050159316
343,-0.006899878872710485
344,-0.010343447158631447
345,-0.006352411503852018
346,0.0
347,0.0
348,0.0
349,-0.031142319643141736
350,-0.02163441104271202
351,-0.018783284326839067
352,-0.024509585269064105
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,-0.0012516672544693463
359,0.0
360,-0.016393389300243033
361,-0.03469601692379887
362,-0.05131385060246407
363,-0.052957406917910954
364,-0.04674537074461027
365,-0.060205035630271575
366,-0.052480737996921656
367,-0.050251202761711466
368,-0.0409071903131345
369,-0.035612370796897164
370,-0.03191501070954139
371,-0.023573692878223418
372,-0.029716440346935658
373,-0.02612383536356988
374,-0.018519967341039112
375,-0.012530225482542345
376,-0.02073508233687915
377,-0.00635999276350252
378,-0.0008065049737231433
379,0.0
380,0.0
381,-0.003546094489897511
382,-0.016893928488570742
383,-0.03795405679656927
384,-0.0410680709371255
385,-0.0311734575646051
386,-0.022756724907575743
387,0.0
388,0.0
389,0.0
390,-0.005762057095672124
391,-0.005298088025911252
392,0.0
393,0.0
394,0.0
395,-0.005447441973552292
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,-0.01351039703252177
402,0.0
403,-0.030068289229831624
404,-0.03643800249735685
405,-0.027742211317153487
406,-0.0109766225504907
407,-0.0229815537268252
408,-0.039800513129422344
409,-0.03276540884735002
410,-0.03835522495865318
411,-0.040287753196787124
412,-0.04684579362425689
413,-0.029458661826748944
414,-0.04161941191155383
415,-0.010389757035234481
416,-0.013079670821553702
417,0.0
418,-0.01348922138924269
419,0.0
420,0.0
421,0.0
422,0.0
423,-0.008728923763369534
424,-0.0321406068652591
425,-0.04646433170731379
426,-0.06284686463199685
427,-0.06160055210109172
428,-0.044694400613760066
429,-0.059889484855019104
430,-0.04756122383856909
431,-0.03809502762453143
432,-0.008164811718079479
433,-0.0033084607925462084
434,-0.01715356344369079
435,-0.013451585231497143
436,-0.02164735017018793
437,-0.017076449471182364
438,-0.015377514590461772
439,-0.0034481382251825288
440,-0.015218191518954316
441,-0.02491853376437214
442,-0.04085725335739143
443,-0.015790120158230336
444,-0.03091007411708213
445,-0.027796918185262975
446,0.0
447,0.0
448,-0.0037630078241641662
449,-0.020691236977471883
450,-0.021323068884452123
451,-0.008055570423527336
452,-0.012767290915547957
453,0.0
454,0.0
455,-0.0012236148015274395
456,0.0
457,-0.01662156901049794
458,-0.015318792208034337
459,-0.018614719298253535
460,-0.01706729151221531
461,-0.014699438837746048
462,-0.024367161865479936
463,-0.006702525295301798
464,-0.0074230786941795746
465,-0.012700569521868377
466,-0.011852035972872321
467,0.0
468,-0.009940832386916565
469,-0.013539316051457084
470,-0.014246062157954986
471,-0.02183413969779402
472,-0.042048200485863996
473,-0.05011204775148548
474,-0.037036772969049725
475,-0.02347757174607623
476,-0.05249399225736606
477,-0.0599422348397729
478,-0.08122055657197802
479,-0.07125850778919673
480,-0.06543254182986458
481,-0.045911015981783376
482,-0.036451147268482864
483,-0.04140493139050738
484,-0.03933700987384914
485,-0.0456516673270323
486,-0.04285283475966284
487,-0.036443501586483684
488,-0.05665818332488837
489,-0.05725325754392574
490,-0.07239086048563337
491,-0.0744826884521983
492,-0.06222751299460072
493,-0.06256526624103675
494,-0.0630683851518743
495,-0.08106163276207301
496,-0.08511385219843148
497,-0.08397253637249447
498,-0.08181855015149231
499,-0.09270768111681815
500,-0.09987091084443511
501,-0.093350532245152
502,-0.09735836714144053
503,-0.06379583069300043
504,-0.047600340940538444
505,-0.045833008410460896
506,-0.041393845989190714
507,-0.04187115385644846
508,-0.04943197887400175
509,-0.0506883267627507
510,-0.05065488876798163
511,-0.03763148807879979
512,-0.0513301168436906
513,-0.06572682389971174
514,-0.08725021637332908
515,-0.07017499769857882
516,-0.08903199684543017
517,-0.07938123192614122
518,-0.08283906761931226
519,-0.09334134035169128
520,-0.09922904680549738
521,-0.11412045027416495
522,-0.11968813163835745
523,-0.11388156134251382
524,-0.11974602266736356
525,-0.11509651525374087
526,-0.11451537762892605
527,-0.09141180013079586
528,-0.08677099689955126
529,-0.09488039248765268
530,-0.08920572349812128
531,-0.08190318312265021
532,-0.07782902180670304
533,-0.08490167331735632
