t,drawdown
0,0.0
1,-0.0007864084200567278
2,-0.03205225094931963
3,-0.008019723120516242
4,-0.015517024525353418
5,-0.024150983011875127
6,-0.047339221084564675
7,-0.027381074398034055
8,-0.00529663717596196
9,0.0
10,0.0
11,-0.0017011478227229038
12,0.0
13,0.0
14,0.0
15,-0.015400999846824526
16,-0.013870501668566959
17,-0.03771410748523574
18,-0.030693233270799536
19,-0.06324668760872287
20,-0.07113611213294213
21,-0.06307234370062131
22,-0.057403454531521736
23,-0.06837711205150698
24,-0.08697835003040044
25,-0.10525368153158765
26,-0.11170806441290226
27,-0.0888299681161493
28,-0.09006717881245818
29,-0.08507991435505102
30,-0.07723954491618723
31,-0.053521328989484473
32,-0.038856993701104514
33,-0.050601659199935756
34,-0.06456693602799735
35,-0.06263770414270486
36,-0.05623035517456787
37,-0.0774251154263137
38,-0.07685021911079304
39,-0.06181739533233643
40,-0.0697114221135523
41,-0.08131826793750974
42,-0.06940442599842844
43,-0.05207079804682346
44,-0.0516062985070771
45,-0.03563272975505638
46,-0.011729905525096673
47,-0.016692702927728842
48,-0.029518220105280712
49,-0.03670125650632494
50,-0.020178795292003615
51,0.0
52,0.0
53,0.0
54,0.0
55,-0.030203841169486156
56,-0.010083311838990028
57,0.0
58,0.0
59,-0.014895155869053434
60,-0.014422283449693651
61,-0.03472381449584594
62,-0.03209329591269583
63,-0.03782625215457247
64,-0.04610853819781058
65,-0.0695971989519989
66,-0.05116462861733706
67,-0.05464140577712928
68,-0.03517832112742192
69,-0.006558572772057514
70,-0.00717653683871422
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,-0.004034379887864925
78,-0.023521337302973455
79,-0.017154876097097427
80,-0.03919105056164096
81,-0.01170688019472299
82,-0.027568810610250072
83,-0.023960214242475963
84,-0.036547437217678835
85,-0.033970549046399845
86,-0.031464552706229165
87,-0.01662726605858078
88,-0.009411805410935115
89,-0.03240592760649397
90,-0.031028329504500518
91,-0.029963017137588865
92,-0.01944991994499312
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,-0.003081156956646014
103,0.0
104,-0.011470062775569945
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-0.007085743155663682
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,-0.006594048301510114
117,0.0
118,-0.011086742071909406
119,-0.03832479622687479
120,-0.026006487707574633
121,-0.0405591407087702
122,-0.04409230751204707
123,-0.04882672520459708
124,-0.04909924411559663
125,-0.055328054499158785
126,-0.042728898851550734
127,-0.035566891057142946
128,-0.03260381703863824
129,-0.05212476037766034
130,-0.05761751668592441
131,-0.06081903082423368
132,-0.0825191543708571
133,-0.08030493603067679
134,-0.06961315353088926
135,-0.07310344137525204
136,-0.06791966746076972
137,-0.06095937772460358
138,-0.05691691424093326
139,-0.07877259719227758
140,-0.07124433596914415
141,-0.06202400912266315
142,-0.034711056650460814
143,-0.028209783214704576
144,-0.02865788189462204
145,-0.016829861478067976
146,-0.011973407717027484
147,-0.024763078095636493
148,-0.021136841038202236
149,-0.029173002877383225
150,-0.02323485274472714
151,-0.021502152599237156
152,-0.036257466893356405
153,-0.02859671936072139
154,-0.029440768892048164
155,-0.01943478719901348
156,-0.0070357853451756824
157,-0.004073398579140464
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,-0.003366191552818809
164,0.0
165,-0.014036542190777324
166,-0.017893521125218692
167,-0.015251897295592953
168,-0.034842175008152565
169,-0.037228388092116815
170,-0.04616555992686289
171,-0.04272093295598922
172,-0.05175875816120845
173,-0.04808104517365919
174,-0.04690429240712968
175,-0.03158404985118135
176,-0.01763386785518406
177,-0.028796885896665958
178,-0.041801461874774404
179,-0.034443325164541405
180,-0.05189594443593459
181,-0.07455474315821431
182,-0.04564367812711623
183,-0.05992127155158056
184,-0.08343017989918311
185,-0.08034618823351303
186,-0.07730061108996855
187,-0.09182064746987284
188,-0.09393134596037844
189,-0.08019851988854099
190,-0.05554319824523579
191,-0.024416026804402025
192,0.0
193,0.0
194,-0.02441019470311756
195,-0.04491452224306269
196,-0.04690664308124137
197,-0.0449521446947051
198,-0.044242184484245106
199,-0.0430318440337355
200,-0.04778133762908765
201,-0.0419547616572824
202,-0.03598245152787116
203,-0.04212164346217473
204,-0.041858656554218054
205,-0.04039245298258254
206,-0.059677092606146176
207,-0.06693760491392875
208,-0.07682435311906743
209,-0.0872888572132362
210,-0.06768100489110507
211,-0.0687422381702113
212,-0.08157734554102003
213,-0.0704746619360318
214,-0.05933969596604216
215,-0.05621120797381007
216,-0.062323892775158485
217,-0.08645183727771977
218,-0.07671764735495512
219,-0.06480248841749425
220,-0.06816862499742671
221,-0.0584038749032455
222,-0.0691232926312434
223,-0.08449771535200634
224,-0.08677756804800396
225,-0.07595725241670426
226,-0.07833467743338607
227,-0.08305704828199478
228,-0.09427095350973014
229,-0.0992159366207559
230,-0.10567122385116856
231,-0.10512654847780967
232,-0.10297983032711788
233,-0.10395789109940101
234,-0.08804687016603352
235,-0.10187534968324052
236,-0.10370863097444116
237,-0.07848673868699352
238,-0.09345639117255222
239,-0.08496966315221044
240,-0.0880084461788081
241,-0.09776905893832033
242,-0.10296937386477789
243,-0.11054559358440519
244,-0.11193168359984829
245,-0.12117327933698907
246,-0.1491266540343711
247,-0.1524677597878783
248,-0.1448895255118089
249,-0.14915721936419746
250,-0.1397994449929486
251,-0.12902754192188903
252,-0.12269046181142462
253,-0.12039862563832804
254,-0.10874540586309667
255,-0.12972927470424345
256,-0.122389758550564
257,-0.10893959246788609
258,-0.10748657125477934
259,-0.10598597477803495
260,-0.1071263636850911
261,-0.12130478275459078
262,-0.11578871086021225
263,-0.13067482094407112
264,-0.11809411709523454
265,-0.11117961444137936
266,-0.10572674845850694
267,-0.10291070701427274
268,-0.1070880271673944
269,-0.10969544411302545
270,-0.10200357051497189
271,-0.1028929916571758
272,-0.09795441345394817
